County Name,Fatalities 10-20,Fatalities 10-21,Fatalities 10-22,Fatalities 10-23,Fatalities 10-24
REAGAN,6,6,6,6,6
REAL,8,8,8,8,8
RED RIVER,17,17,17,17,17
REEVES,7,7,7,7,7
REFUGIO,16,16,16,16,16
ROBERTS,0,0,0,0,0
ROBERTSON,4,4,4,4,4
ROCKWALL,32,32,32,32,32
RUNNELS,9,9,9,9,9
RUSK,21,21,21,21,21
SABINE,9,9,9,9,9
SAN AUGUSTINE,15,15,15,15,15
SAN JACINTO,11,11,11,11,11
SAN PATRICIO,80,80,80,80,80
SAN SABA,1,1,1,1,1
SCHLEICHER,2,2,2,2,2
SCURRY,14,14,14,14,14
SHACKELFORD,0,0,0,0,0
SHELBY,30,30,30,30,30
SHERMAN,1,1,1,1,1
SMITH,134,134,134,134,134
SOMERVELL,5,5,5,5,5
STARR,185,185,185,185,185
STEPHENS,4,4,4,4,4
STERLING,0,0,0,0,0
STONEWALL,1,1,1,1,1
SUTTON,3,3,3,3,3
SWISHER,3,3,3,3,3
TARRANT,814,814,814,814,814
TAYLOR,64,64,64,64,64
TERRELL,0,0,0,0,0
TERRY,8,8,8,8,8
THROCKMORTON,2,2,2,2,2
TITUS,35,35,35,35,35
TOM GREEN,77,77,77,77,77
TRAVIS,442,442,442,442,442
TRINITY,7,7,7,7,7
TYLER,4,4,4,4,4
UPSHUR,13,13,13,13,13
UPTON,3,3,3,3,3
UVALDE,36,36,36,36,36
VAL VERDE,125,125,125,125,125
VAN ZANDT,26,26,26,26,26
VICTORIA,97,97,97,97,97
WALKER,62,62,62,62,62
WALLER,17,17,17,17,17
WARD,1,1,1,1,1
WASHINGTON,48,48,48,48,48
WEBB,329,329,329,329,329
WHARTON,58,58,58,58,58
WHEELER,0,0,0,0,0
WICHITA,33,33,33,33,33
WILBARGER,3,3,3,3,3
WILLACY,55,55,55,55,55
WILLIAMSON,152,152,152,152,152
WILSON,28,28,28,28,28
WINKLER,4,4,4,4,4
WISE,15,15,15,15,15
WOOD,39,39,39,39,39
YOAKUM,6,6,6,6,6
YOUNG,8,8,8,8,8
ZAPATA,9,9,9,9,9
ZAVALA,18,18,18,18,18
