Geographic Area Name,total_cases,total_fatalities,death_rate,total_tests
"Matagorda County, Texas",1094.0,53.0,0.048446069469835464,91904
"Maverick County, Texas",4182.0,146.0,0.034911525585844094,158
"McCulloch County, Texas",202.0,4.0,0.019801980198019802,7613
"McLennan County, Texas",9772.0,131.0,0.013405648792468276,1018
"McMullen County, Texas",24.0,1.0,0.041666666666666664,661
"Medina County, Texas",1274.0,48.0,0.03767660910518053,11077
"Menard County, Texas",62.0,0.0,0.0,1017
"Midland County, Texas",4771.0,76.0,0.015929574512680778,26558
"Milam County, Texas",545.0,7.0,0.012844036697247707,7393
"Mills County, Texas",74.0,1.0,0.013513513513513514,1636
"Mitchell County, Texas",179.0,2.0,0.0111731843575419,2447
"Montague County, Texas",270.0,5.0,0.018518518518518517,3317
"Montgomery County, Texas",12920.0,173.0,0.013390092879256965,137429
"Moore County, Texas",1317.0,22.0,0.016704631738800303,4979
"Morris County, Texas",217.0,5.0,0.02304147465437788,2156
"Motley County, Texas",17.0,0.0,0.0,346
"Nacogdoches County, Texas",1781.0,68.0,0.0381807973048849,20657
"Navarro County, Texas",1417.0,32.0,0.022582921665490474,12030
"Newton County, Texas",188.0,13.0,0.06914893617021277,2204
"Nolan County, Texas",405.0,5.0,0.012345679012345678,2710
"Nueces County, Texas",16171.0,407.0,0.025168511532991156,121056
"Ochiltree County, Texas",302.0,5.0,0.016556291390728478,307
"Oldham County, Texas",27.0,2.0,0.07407407407407407,420
"Orange County, Texas",2160.0,46.0,0.021296296296296296,13878
"Palo Pinto County, Texas",700.0,17.0,0.024285714285714285,5029
"Panola County, Texas",466.0,28.0,0.060085836909871244,4074
"Parker County, Texas",2400.0,47.0,0.019583333333333335,22911
"Parmer County, Texas",570.0,18.0,0.031578947368421054,1200
"Pecos County, Texas",474.0,7.0,0.014767932489451477,4645
"Polk County, Texas",912.0,35.0,0.03837719298245614,15043
"Potter County, Texas",7682.0,90.0,0.01171569903670919,42014
"Presidio County, Texas",128.0,7.0,0.0546875,2338
"Rains County, Texas",86.0,5.0,0.05813953488372093,1003
"Randall County, Texas",4883.0,54.0,0.011058775343026827,23477
"Reagan County, Texas",92.0,6.0,0.06521739130434782,728
"Real County, Texas",123.0,8.0,0.06504065040650407,618
"Red River County, Texas",196.0,17.0,0.08673469387755102,2008
"Reeves County, Texas",258.0,7.0,0.027131782945736434,2212
"Refugio County, Texas",308.0,16.0,0.05194805194805195,2472
"Roberts County, Texas",14.0,0.0,0.0,66
"Robertson County, Texas",417.0,4.0,0.009592326139088728,5317
"Rockwall County, Texas",1896.0,32.0,0.016877637130801686,22831
"Runnels County, Texas",296.0,9.0,0.030405405405405407,2974
"Rusk County, Texas",992.0,21.0,0.021169354838709676,9435
"Sabine County, Texas",92.0,9.0,0.09782608695652174,2390
"San Augustine County, Texas",214.0,15.0,0.07009345794392523,1849
"San Jacinto County, Texas",236.0,11.0,0.046610169491525424,7218
"San Patricio County, Texas",1572.0,80.0,0.05089058524173028,16948
"San Saba County, Texas",117.0,1.0,0.008547008547008548,1132
"Schleicher County, Texas",55.0,2.0,0.03636363636363636,462
"Scurry County, Texas",1074.0,14.0,0.01303538175046555,3119
"Shackelford County, Texas",39.0,0.0,0.0,390
"Shelby County, Texas",542.0,30.0,0.055350553505535055,6440
"Sherman County, Texas",77.0,1.0,0.012987012987012988,100
"Smith County, Texas",4317.0,134.0,0.03104007412555015,73163
"Somervell County, Texas",156.0,5.0,0.03205128205128205,1729
"Starr County, Texas",3534.0,185.0,0.052348613469156764,17812
"Stephens County, Texas",160.0,4.0,0.025,1120
"Sterling County, Texas",13.0,0.0,0.0,402
"Stonewall County, Texas",19.0,1.0,0.05263157894736842,78
"Sutton County, Texas",108.0,3.0,0.027777777777777776,650
"Swisher County, Texas",146.0,3.0,0.02054794520547945,2116
"Tarrant County, Texas",56578.0,814.0,0.01438721764643501,529568
"Taylor County, Texas",1879.0,64.0,0.034060670569451834,38591
"Terrell County, Texas",4.0,0.0,0.0,48
"Terry County, Texas",493.0,8.0,0.016227180527383367,1964
"Throckmorton County, Texas",17.0,2.0,0.11764705882352941,118
"Titus County, Texas",1583.0,35.0,0.022109917877447885,7708
"Tom Green County, Texas",2577.0,77.0,0.029879705083430345,36996
"Travis County, Texas",31411.0,442.0,0.014071503613383846,340665
"Trinity County, Texas",206.0,7.0,0.03398058252427184,3799
"Tyler County, Texas",260.0,4.0,0.015384615384615385,5175
"Upshur County, Texas",483.0,13.0,0.026915113871635612,4718
"Upton County, Texas",27.0,3.0,0.1111111111111111,536
"Uvalde County, Texas",828.0,36.0,0.043478260869565216,5864
"Val Verde County, Texas",2489.0,125.0,0.0502209722780233,11416
"Van Zandt County, Texas",668.0,26.0,0.038922155688622756,6628
"Victoria County, Texas",4248.0,97.0,0.02283427495291902,21001
"Walker County, Texas",3932.0,62.0,0.015768056968463885,48875
"Waller County, Texas",959.0,17.0,0.017726798748696558,10369
"Ward County, Texas",158.0,1.0,0.006329113924050633,1742
"Washington County, Texas",694.0,48.0,0.069164265129683,10716
"Webb County, Texas",15011.0,329.0,0.02191726067550463,86659
"Wharton County, Texas",1420.0,58.0,0.04084507042253521,14004
"Wheeler County, Texas",76.0,0.0,0.0,1049
"Wichita County, Texas",3486.0,33.0,0.00946643717728055,41312
"Wilbarger County, Texas",336.0,3.0,0.008928571428571428,3821
"Willacy County, Texas",1222.0,55.0,0.045008183306055646,9635
"Williamson County, Texas",9335.0,152.0,0.01628280664167113,132622
"Wilson County, Texas",991.0,28.0,0.028254288597376387,10153
"Winkler County, Texas",140.0,4.0,0.02857142857142857,425
"Wise County, Texas",908.0,15.0,0.016519823788546256,16302
"Wood County, Texas",626.0,39.0,0.06230031948881789,6844
"Yoakum County, Texas",289.0,6.0,0.020761245674740483,1531
"Young County, Texas",535.0,8.0,0.014953271028037384,3363
"Zapata County, Texas",345.0,9.0,0.02608695652173913,4355
"Zavala County, Texas",460.0,18.0,0.0391304347826087,2520
