Geographic Area Name,total_cases,total_fatalities,death_rate,total_tests
"Fulton County, Illinois",518.0,1.0,0.0019305019305019305,15188
"Gallatin County, Illinois",107.0,2.0,0.018691588785046728,1088
"Greene County, Illinois",290.0,15.0,0.05172413793103448,4737
"Grundy County, Illinois",965.0,7.0,0.007253886010362694,14045
"Hamilton County, Illinois",120.0,2.0,0.016666666666666666,2013
"Hancock County, Illinois",309.0,4.0,0.012944983818770227,6987
"Hardin County, Illinois",53.0,0.0,0.0,1342
"Henderson County, Illinois",128.0,0.0,0.0,1883
"Henry County, Illinois",846.0,7.0,0.008274231678486997,20732
"Iroquois County, Illinois",492.0,19.0,0.03861788617886179,14003
"Jackson County, Illinois",1542.0,26.0,0.016861219195849545,22926
"Jasper County, Illinois",264.0,10.0,0.03787878787878788,3443
"Jefferson County, Illinois",905.0,48.0,0.05303867403314917,12865
"Jersey County, Illinois",473.0,21.0,0.04439746300211417,7793
"Jo Daviess County, Illinois",498.0,7.0,0.014056224899598393,7365
"Johnson County, Illinois",355.0,0.0,0.0,3880
"Kane County, Illinois",16621.0,347.0,0.02087720353769328,222374
"Kankakee County, Illinois",3388.0,80.0,0.023612750885478158,64994
"Kendall County, Illinois",2670.0,30.0,0.011235955056179775,43689
"Knox County, Illinois",1299.0,16.0,0.012317167051578136,23808
"Lake County, Illinois",20630.0,510.0,0.024721279689772176,319032
"LaSalle County, Illinois",2408.0,63.0,0.02616279069767442,39566
"Lawrence County, Illinois",333.0,8.0,0.024024024024024024,6602
"Lee County, Illinois",710.0,2.0,0.0028169014084507044,10653
"Livingston County, Illinois",632.0,10.0,0.015822784810126583,17423
"Logan County, Illinois",590.0,4.0,0.006779661016949152,18343
"Macon County, Illinois",3055.0,52.0,0.01702127659574468,52726
"Macoupin County, Illinois",807.0,11.0,0.013630731102850062,22308
"Madison County, Illinois",7151.0,154.0,0.021535449587470282,98208
"Marion County, Illinois",1012.0,19.0,0.018774703557312252,18636
"Marshall County, Illinois",156.0,3.0,0.019230769230769232,5653
"Mason County, Illinois",305.0,1.0,0.003278688524590164,6159
"Massac County, Illinois",154.0,2.0,0.012987012987012988,3374
"McDonough County, Illinois",764.0,20.0,0.02617801047120419,12678
"McHenry County, Illinois",6310.0,121.0,0.01917591125198098,99529
"McLean County, Illinois",4150.0,34.0,0.00819277108433735,97930
"Menard County, Illinois",185.0,1.0,0.005405405405405406,5945
"Mercer County, Illinois",262.0,6.0,0.022900763358778626,6314
"Monroe County, Illinois",920.0,30.0,0.03260869565217391,11132
"Montgomery County, Illinois",610.0,16.0,0.02622950819672131,17281
"Morgan County, Illinois",896.0,24.0,0.026785714285714284,16116
"Moultrie County, Illinois",411.0,4.0,0.009732360097323601,7012
"Ogle County, Illinois",1189.0,7.0,0.005887300252312868,19650
"Peoria County, Illinois",4544.0,70.0,0.015404929577464789,109147
"Perry County, Illinois",438.0,16.0,0.0365296803652968,7599
"Piatt County, Illinois",250.0,0.0,0.0,10647
"Pike County, Illinois",353.0,6.0,0.0169971671388102,5315
"Pope County, Illinois",42.0,1.0,0.023809523809523808,787
"Pulaski County, Illinois",235.0,1.0,0.00425531914893617,2008
"Putnam County, Illinois",92.0,0.0,0.0,1562
"Randolph County, Illinois",1271.0,15.0,0.011801730920535013,15703
"Richland County, Illinois",334.0,16.0,0.04790419161676647,7889
"Rock Island County, Illinois",4005.0,90.0,0.02247191011235955,73141
"Saline County, Illinois",559.0,9.0,0.016100178890876567,8267
"Sangamon County, Illinois",3988.0,63.0,0.01579739217652959,131583
"Schuyler County, Illinois",90.0,1.0,0.011111111111111112,2291
"Scott County, Illinois",106.0,0.0,0.0,2744
"Shelby County, Illinois",669.0,12.0,0.017937219730941704,8582
"St. Clair County, Illinois",7920.0,220.0,0.027777777777777776,105217
"Stark County, Illinois",86.0,3.0,0.03488372093023256,2686
"Stephenson County, Illinois",981.0,7.0,0.007135575942915392,16768
"Tazewell County, Illinois",2645.0,56.0,0.02117202268431002,74083
"Union County, Illinois",780.0,25.0,0.03205128205128205,8639
"Vermilion County, Illinois",1718.0,10.0,0.005820721769499418,36715
"Wabash County, Illinois",226.0,5.0,0.022123893805309734,2984
"Warren County, Illinois",496.0,8.0,0.016129032258064516,5446
"Washington County, Illinois",307.0,2.0,0.006514657980456026,4053
"Wayne County, Illinois",482.0,12.0,0.024896265560165973,5619
"White County, Illinois",269.0,4.0,0.01486988847583643,7252
"Whiteside County, Illinois",1400.0,27.0,0.019285714285714285,20122
"Will County, Illinois",18356.0,427.0,0.023262148616256265,275472
"Williamson County, Illinois",1883.0,59.0,0.031332979288369624,31868
"Winnebago County, Illinois",10183.0,180.0,0.017676519689678878,133444
"Woodford County, Illinois",618.0,14.0,0.022653721682847898,16973
"Cook County, Illinois",175586.0,5421.0,0.03087375986695978,2731444
"Albany County, New York",3577.0,128.0,0.03578417668437238,176101
"Allegany County, New York",271.0,9.0,0.033210332103321034,24790
"Bronx County, New York",55011.0,3397.0,0.06175128610641508,969996
"Broome County, New York",3368.0,95.0,0.02820665083135392,160671
"Cattaraugus County, New York",461.0,17.0,0.0368763557483731,44917
"Cayuga County, New York",364.0,3.0,0.008241758241758242,50028
"Chautauqua County, New York",884.0,4.0,0.004524886877828055,73881
"Chemung County, New York",1640.0,12.0,0.007317073170731708,64000
"Chenango County, New York",381.0,6.0,0.015748031496062992,35456
"Clinton County, New York",240.0,5.0,0.020833333333333332,46403
"Columbia County, New York",680.0,48.0,0.07058823529411765,39059
"Cortland County, New York",510.0,1.0,0.00196078431372549,42981
