Geographic Area Name,obes_percent
"Robertson County, Texas",0.41600000000000004
"Rockwall County, Texas",0.305
"Runnels County, Texas",0.193
"Rusk County, Texas",0.408
"Sabine County, Texas",0.27899999999999997
"San Augustine County, Texas",0.36
"San Jacinto County, Texas",0.379
"San Patricio County, Texas",0.406
"San Saba County, Texas",0.321
"Schleicher County, Texas",0.239
"Scurry County, Texas",0.28
"Shackelford County, Texas",0.266
"Shelby County, Texas",0.29100000000000004
"Sherman County, Texas",0.29
"Smith County, Texas",0.33299999999999996
"Somervell County, Texas",0.28800000000000003
"Starr County, Texas",0.322
"Stephens County, Texas",0.35
"Sterling County, Texas",0.218
"Stonewall County, Texas",0.21100000000000002
"Sutton County, Texas",0.29100000000000004
"Swisher County, Texas",0.19699999999999998
"Tarrant County, Texas",0.306
"Taylor County, Texas",0.311
"Terrell County, Texas",0.21100000000000002
"Terry County, Texas",0.369
"Throckmorton County, Texas",0.252
"Titus County, Texas",0.336
"Tom Green County, Texas",0.304
"Travis County, Texas",0.231
"Trinity County, Texas",0.253
"Tyler County, Texas",0.423
"Upshur County, Texas",0.299
"Upton County, Texas",0.24100000000000002
"Uvalde County, Texas",0.359
"Val Verde County, Texas",0.268
"Van Zandt County, Texas",0.35
"Victoria County, Texas",0.369
"Walker County, Texas",0.319
"Waller County, Texas",0.348
"Ward County, Texas",0.37799999999999995
"Washington County, Texas",0.36700000000000005
"Webb County, Texas",0.373
"Wharton County, Texas",0.36700000000000005
"Wheeler County, Texas",0.254
"Wichita County, Texas",0.36
"Wilbarger County, Texas",0.359
"Willacy County, Texas",0.379
"Williamson County, Texas",0.311
"Wilson County, Texas",0.34600000000000003
"Winkler County, Texas",0.374
"Wise County, Texas",0.441
"Wood County, Texas",0.331
"Yoakum County, Texas",0.295
"Young County, Texas",0.359
"Zapata County, Texas",0.302
"Zavala County, Texas",0.28600000000000003
"Alameda County, California",0.067
"Alpine County, California",0.046
"Amador County, California",0.142
"Butte County, California",0.09300000000000001
"Calaveras County, California",0.07400000000000001
"Colusa County, California",0.147
"Contra Costa County, California",0.075
"Del Norte County, California",0.158
"El Dorado County, California",0.059000000000000004
"Fresno County, California",0.096
"Glenn County, California",0.10099999999999999
"Humboldt County, California",0.08800000000000001
"Imperial County, California",0.08900000000000001
"Inyo County, California",0.09
"Kern County, California",0.099
"Kings County, California",0.135
"Lake County, California",0.079
"Lassen County, California",0.145
"Los Angeles County, California",0.084
"Madera County, California",0.115
"Marin County, California",0.063
"Mariposa County, California",0.053
"Mendocino County, California",0.084
"Merced County, California",0.13
"Modoc County, California",0.083
"Mono County, California",0.1
"Monterey County, California",0.087
"Napa County, California",0.08199999999999999
"Nevada County, California",0.035
"Orange County, California",0.078
"Placer County, California",0.054000000000000006
"Plumas County, California",0.046
"Riverside County, California",0.09
"Sacramento County, California",0.08800000000000001
"San Benito County, California",0.091
"San Bernardino County, California",0.10300000000000001
"San Diego County, California",0.073
"San Francisco County, California",0.06
"San Joaquin County, California",0.098
"San Luis Obispo County, California",0.077
"San Mateo County, California",0.071
"Santa Barbara County, California",0.075
"Santa Clara County, California",0.081
"Santa Cruz County, California",0.055
"Shasta County, California",0.105
"Sierra County, California",0.042
"Siskiyou County, California",0.07400000000000001
"Solano County, California",0.083
"Sonoma County, California",0.068
"Stanislaus County, California",0.09699999999999999
"Sutter County, California",0.121
"Tehama County, California",0.08900000000000001
"Trinity County, California",0.065
"Tulare County, California",0.109
"Tuolumne County, California",0.055999999999999994
"Ventura County, California",0.077
"Yolo County, California",0.08
"Yuba County, California",0.126
"Alachua County, Florida",0.096
"Baker County, Florida",0.136
"Bay County, Florida",0.105
"Bradford County, Florida",0.11199999999999999
"Brevard County, Florida",0.10099999999999999
"Broward County, Florida",0.079
"Calhoun County, Florida",0.146
"Charlotte County, Florida",0.08
"Citrus County, Florida",0.08800000000000001
"Clay County, Florida",0.10400000000000001
"Collier County, Florida",0.065
"Columbia County, Florida",0.128
"DeSoto County, Florida",0.12300000000000001
"Dixie County, Florida",0.11199999999999999
"Duval County, Florida",0.12300000000000001
"Escambia County, Florida",0.11699999999999999
"Flagler County, Florida",0.08800000000000001
"Franklin County, Florida",0.092
"Gadsden County, Florida",0.18
"Gilchrist County, Florida",0.128
"Glades County, Florida",0.184
"Gulf County, Florida",0.114
"Hamilton County, Florida",0.134
"Hardee County, Florida",0.15
"Hendry County, Florida",0.12300000000000001
"Hernando County, Florida",0.115
"Highlands County, Florida",0.106
"Hillsborough County, Florida",0.099
"Holmes County, Florida",0.122
"Indian River County, Florida",0.076
"Jackson County, Florida",0.139
"Jefferson County, Florida",0.115
"Lafayette County, Florida",0.135
"Lake County, Florida",0.099
"Lee County, Florida",0.079
"Leon County, Florida",0.084
"Levy County, Florida",0.12300000000000001
"Liberty County, Florida",0.122
"Madison County, Florida",0.138
"Manatee County, Florida",0.081
"Marion County, Florida",0.12
"Martin County, Florida",0.073
"Miami-Dade County, Florida",0.068
"Monroe County, Florida",0.054000000000000006
"Nassau County, Florida",0.083
"Okaloosa County, Florida",0.105
"Okeechobee County, Florida",0.124
"Orange County, Florida",0.08900000000000001
"Osceola County, Florida",0.11599999999999999
"Palm Beach County, Florida",0.086
"Pasco County, Florida",0.10099999999999999
"Pinellas County, Florida",0.076
"Polk County, Florida",0.11199999999999999
"Putnam County, Florida",0.146
"Santa Rosa County, Florida",0.102
"Sarasota County, Florida",0.061
"Seminole County, Florida",0.091
"St. Johns County, Florida",0.063
"St. Lucie County, Florida",0.096
"Sumter County, Florida",0.10300000000000001
"Suwannee County, Florida",0.12
"Taylor County, Florida",0.11800000000000001
"Union County, Florida",0.13
"Volusia County, Florida",0.1
"Wakulla County, Florida",0.083
"Walton County, Florida",0.106
"Washington County, Florida",0.125
"Adams County, Illinois",0.114
"Alexander County, Illinois",0.036000000000000004
"Bond County, Illinois",0.061
"Boone County, Illinois",0.078
"Brown County, Illinois",0.08199999999999999
"Bureau County, Illinois",0.126
"Calhoun County, Illinois",0.079
"Carroll County, Illinois",0.073
"Cass County, Illinois",0.055999999999999994
"Champaign County, Illinois",0.099
"Christian County, Illinois",0.085
"Clark County, Illinois",0.09
"Clay County, Illinois",0.13
"Clinton County, Illinois",0.057
"Coles County, Illinois",0.11800000000000001
"Cook County, Illinois",0.08900000000000001
"Crawford County, Illinois",0.09
"Cumberland County, Illinois",0.087
"De Witt County, Illinois",0.16699999999999998
"DeKalb County, Illinois",0.068
"Douglas County, Illinois",0.09300000000000001
"DuPage County, Illinois",0.064
"Edgar County, Illinois",0.085
"Edwards County, Illinois",0.061
"Effingham County, Illinois",0.115
"Fayette County, Illinois",0.087
"Ford County, Illinois",0.048
"Franklin County, Illinois",0.126
"Fulton County, Illinois",0.061
"Gallatin County, Illinois",0.068
"Greene County, Illinois",0.066
"Grundy County, Illinois",0.08900000000000001
"Hamilton County, Illinois",0.063
"Hancock County, Illinois",0.063
"Hardin County, Illinois",0.078
"Henderson County, Illinois",0.099
"Henry County, Illinois",0.092
"Iroquois County, Illinois",0.063
"Jackson County, Illinois",0.083
"Jasper County, Illinois",0.07400000000000001
"Jefferson County, Illinois",0.069
"Jersey County, Illinois",0.129
"Jo Daviess County, Illinois",0.071
"Johnson County, Illinois",0.07200000000000001
"Kane County, Illinois",0.092
"Kankakee County, Illinois",0.11699999999999999
"Kendall County, Illinois",0.086
"Knox County, Illinois",0.109
"Lake County, Illinois",0.076
"LaSalle County, Illinois",0.12
"Lawrence County, Illinois",0.175
"Lee County, Illinois",0.06
"Livingston County, Illinois",0.1
"Logan County, Illinois",0.126
"Macon County, Illinois",0.168
"Macoupin County, Illinois",0.115
"Madison County, Illinois",0.102
"Marion County, Illinois",0.135
"Marshall County, Illinois",0.099
"Mason County, Illinois",0.071
"Massac County, Illinois",0.142
"McDonough County, Illinois",0.11
"McHenry County, Illinois",0.078
"McLean County, Illinois",0.10099999999999999
"Menard County, Illinois",0.094
"Mercer County, Illinois",0.068
"Monroe County, Illinois",0.081
"Montgomery County, Illinois",0.10400000000000001
"Morgan County, Illinois",0.16399999999999998
"Moultrie County, Illinois",0.06
"Ogle County, Illinois",0.078
"Peoria County, Illinois",0.11199999999999999
"Perry County, Illinois",0.085
"Piatt County, Illinois",0.063
"Pike County, Illinois",0.13699999999999998
"Pope County, Illinois",0.102
"Pulaski County, Illinois",0.061
"Putnam County, Illinois",0.061
"Randolph County, Illinois",0.141
"Richland County, Illinois",0.08900000000000001
"Rock Island County, Illinois",0.098
"Saline County, Illinois",0.07200000000000001
"Sangamon County, Illinois",0.09
"Schuyler County, Illinois",0.085
"Scott County, Illinois",0.11699999999999999
"Shelby County, Illinois",0.069
