Geographic Area Name,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years
"Panola County, Texas",23440,11498,11942,1430,1282,1903,1628,1412,2675,2890,2688,1596,1710,2393,1361,472,39.3
"Erath County, Texas",41482,20216,21266,2449,2551,2356,4548,5919,5055,4174,4327,2300,2085,3324,1612,782,30.0
"Brazoria County, Texas",353999,179060,174939,25013,27824,25997,23891,21058,49737,51803,47776,22350,18570,24779,11542,3659,35.6
"Motley County, Texas",1156,580,576,58,132,71,75,29,195,55,99,61,43,221,90,27,38.3
"Donley County, Texas",3387,1634,1753,162,195,244,278,251,326,322,368,226,226,427,287,75,41.6
"Atascosa County, Texas",48828,24398,24430,3584,3628,4029,3633,3038,6308,6070,5901,2874,2842,4094,2090,737,35.4
"Coleman County, Texas",8391,4220,4171,504,539,517,385,305,989,822,985,718,617,1120,748,142,46.5
"Nolan County, Texas",14966,7669,7297,1094,1183,1002,1164,910,1591,1650,1682,1111,926,1491,837,325,38.5
"Hudspeth County, Texas",4098,2019,2079,207,362,280,235,274,648,347,508,334,264,385,213,41,37.6
"Medina County, Texas",49334,25551,23783,2891,3061,3442,3492,3486,6103,5643,6687,3387,3198,4795,2163,986,39.3
"Ward County, Texas",11586,5864,5722,848,908,902,822,872,1618,1410,1315,650,645,894,523,179,33.2
"Henderson County, Texas",80460,39097,41363,4537,4681,5081,5230,4356,8568,8690,10190,5983,5744,9977,5700,1723,43.9
"Harrison County, Texas",66645,32556,34089,4354,4977,4720,4844,3991,7842,8124,8253,4591,4269,6439,2959,1282,37.9
"Menard County, Texas",2123,1117,1006,26,140,117,69,55,298,177,352,161,164,327,174,63,49.1
"Lamar County, Texas",49532,23917,25615,3327,2989,3421,3276,2843,5932,5656,6370,3259,3232,5256,3069,902,40.8
"Fayette County, Texas",25066,12351,12715,1256,1533,1540,1391,1320,2317,2618,3037,2150,1881,3277,1970,776,47.0
"Williamson County, Texas",527057,259443,267614,35305,39362,40653,36058,29157,73635,85938,71680,28654,25929,38120,16238,6328,36.1
