Geographic Area Name,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years
"Orange County, Texas",84047,41630,42417,5725,5807,5808,5345,5299,10653,10243,11068,5970,5223,7443,4066,1397,37.8
"Winkler County, Texas",7802,3977,3825,649,714,646,698,548,944,975,942,441,356,472,294,123,32.5
"Burnet County, Texas",45750,22642,23108,2423,2502,3042,2908,2760,4428,5283,5471,3465,3529,5930,3054,955,44.2
"Dallas County, Texas",2586552,1275226,1311326,195852,194682,188069,175401,183838,421527,359293,327994,149682,126422,160112,73856,29824,33.3
"McMullen County, Texas",662,387,275,45,54,56,19,24,82,125,35,58,27,75,42,20,40.2
"Johnson County, Texas",163475,81568,81907,10772,12070,12313,11668,10001,20689,21405,21985,11444,8798,13666,6700,1964,36.8
"Hartley County, Texas",5767,3411,2356,311,325,389,235,172,1115,1031,745,359,258,446,320,61,39.1
"Limestone County, Texas",23515,12056,11459,1508,1359,1544,1614,1391,2907,2780,2869,1560,1700,2541,1307,435,40.0
"Parker County, Texas",129802,64448,65354,7993,9003,9467,8811,7444,14842,16093,18625,9861,8124,12182,5508,1849,39.7
"Culberson County, Texas",2241,1231,1010,195,156,110,109,90,374,173,294,199,113,217,140,71,43.0
"Garza County, Texas",6288,4070,2218,269,238,274,394,516,1075,1172,887,402,280,408,304,69,39.0
"Travis County, Texas",1203166,607356,595810,78751,75966,73312,72912,82452,241541,190102,152905,67198,57677,70442,27992,11916,33.9
"Collingsworth County, Texas",2996,1496,1500,185,191,245,171,201,321,383,351,233,173,313,124,105,39.2
"Lamb County, Texas",13262,6710,6552,970,1059,1071,934,877,1571,1448,1536,918,734,1050,777,317,36.0
"Loving County, Texas",102,58,44,19,5,0,0,3,11,11,0,14,14,22,3,0,55.4
"Robertson County, Texas",16890,8296,8594,979,1165,1236,1032,1077,1752,1856,2299,1117,1177,1911,864,425,40.9
"Taylor County, Texas",136348,66718,69630,10062,9235,9205,10384,14403,19990,14949,14123,7568,7274,10310,6185,2660,32.3
"Trinity County, Texas",14569,7011,7558,672,953,858,818,588,1344,1426,1816,934,1282,2172,1347,359,48.7
"Bandera County, Texas",21763,11032,10731,864,880,1252,1033,1056,1924,2087,2925,1873,2236,3472,1713,448,52.1
"Cochran County, Texas",2904,1491,1413,215,247,208,242,124,447,346,277,205,153,222,188,30,34.5
"Comal County, Texas",135097,66793,68304,7855,8111,9355,8623,7284,14986,16199,18761,9448,10508,14757,6482,2728,42.0
"Houston County, Texas",22955,12432,10523,1181,1372,1161,1224,1325,2412,3021,3182,1669,1574,2605,1543,686,44.0
"Potter County, Texas",120899,62295,58604,9808,10053,8534,7885,8309,18388,15720,14471,7563,5757,8259,4214,1938,33.8
"Scurry County, Texas",17239,9425,7814,1181,1033,1439,1285,1063,2295,2398,1941,1091,921,1370,863,359,36.1
"Stonewall County, Texas",1385,730,655,63,73,137,108,15,106,79,179,131,121,223,119,31,52.0
"Brown County, Texas",37834,18774,19060,2053,2158,2724,2768,2409,4417,4208,4717,2801,2343,4129,2309,798,41.3
"Bee County, Texas",32691,19911,12780,1924,1870,1998,1938,2720,5676,4790,4387,2031,1478,2223,1157,499,35.4
"Crane County, Texas",4839,2511,2328,381,381,473,479,239,639,574,569,317,206,330,196,55,32.4
"McCulloch County, Texas",8098,4260,3838,536,457,532,436,422,825,898,1080,539,584,1059,491,239,44.6
"Lee County, Texas",16952,8558,8394,913,1169,938,1406,954,1669,2124,2162,1207,1304,1724,1017,365,41.5
"Ellis County, Texas",168838,83184,85654,11392,12826,13120,12711,10718,21434,22272,22939,11317,9272,12940,6149,1748,36.1
"Kerr County, Texas",51365,24886,26479,2627,2593,2945,3036,3013,5313,4702,5826,3675,3816,7327,4509,1983,47.7
"Falls County, Texas",17299,8189,9110,1042,1022,1058,967,1175,2466,1914,2421,1238,1013,1600,904,479,39.3
"Schoharie County, New York",31364,15620,15744,1350,1610,1609,2504,2081,3247,3238,4401,2636,2329,3770,1862,727,45.1
"Onondaga County, New York",464242,223995,240247,26583,27226,28145,34190,32440,61565,51694,63081,33947,30336,41656,21386,11993,39.0
"Clinton County, New York",80794,41499,39295,3945,3859,4189,6023,7824,10146,9380,11080,5953,5542,7397,3967,1489,39.3
"Seneca County, New York",34612,18096,16516,1897,1651,2095,1919,2247,4669,3865,4784,2896,2267,3673,1890,759,42.2
"Putnam County, New York",99070,49296,49774,4418,5263,6389,6529,6173,10422,11647,16845,7845,7486,9844,4502,1707,44.1
"Franklin County, New York",50692,27816,22876,2463,2769,2946,3023,3803,7040,6036,7430,3625,3476,4785,2494,802,40.6
"Ontario County, New York",109472,53704,55768,5507,5890,6898,7426,7017,11845,11886,15906,8413,8114,12102,5708,2760,43.5
"Queens County, New York",2298513,1114654,1183859,144790,123406,124069,118190,141802,372909,320326,318272,156633,137460,189763,103751,47142,38.7
"Steuben County, New York",96927,48397,48530,5413,6000,5906,6073,5466,11105,11141,13399,7743,6792,10163,5510,2216,42.6
"Hamilton County, New York",4575,2347,2228,147,167,191,291,243,267,390,631,596,333,807,348,164,54.0
"Washington County, New York",61828,32002,29826,2935,3561,3233,3496,3764,7291,7476,9338,5001,4445,6562,3524,1202,44.0
"Chautauqua County, New York",129656,63960,65696,7042,6705,8040,9407,8604,15083,13614,17040,10365,9088,13606,7615,3447,42.5
"Kings County, New York",2600747,1231912,1368835,193743,162283,154327,141394,171719,474552,359498,311752,148957,138974,192857,103729,46962,35.1
"New York County, New York",1632480,772144,860336,79897,62983,59051,68706,114772,366556,234534,203826,94082,90711,141583,76731,39048,37.3
"Tioga County, New York",49045,24264,24781,2582,2792,3142,2968,2822,5168,5517,6911,4464,3244,5290,2928,1217,44.0
"Cayuga County, New York",77868,39982,37886,3935,4346,4356,4858,4847,9646,9011,11067,6325,5618,7951,3875,2033,42.7
"Orleans County, New York",41175,20539,20636,2113,2323,2136,2523,2448,5491,4607,6296,3417,2877,4047,2118,779,43.2
"Saratoga County, New York",227377,112468,114909,11778,13349,12969,14488,13300,26831,28533,35002,17270,15120,23450,10870,4417,42.6
"Rockland County, New York",323686,158667,165019,25068,25410,24524,23601,21574,37212,35804,41687,21411,17750,27200,15112,7333,36.1
"Columbia County, New York",60919,30495,30424,2572,3150,2951,3355,3285,6515,6492,8982,4977,5063,7870,4140,1567,47.8
"Lewis County, New York",26719,13451,13268,1661,1552,1903,1659,1571,3051,2982,3632,2094,1994,2559,1371,690,42.0
"Niagara County, New York",211704,103127,108577,11078,10904,12945,13069,13101,25881,23528,29830,16305,16663,21648,11123,5629,43.2
"Westchester County, New York",968815,468898,499917,54910,58160,64049,65700,60038,110298,123911,143584,69516,59747,84519,48318,26065,40.8
"Delaware County, New York",45502,22943,22559,1795,2192,2243,3563,2821,4443,4280,6128,3710,3732,6144,3188,1263,47.5
"Essex County, New York",37751,19622,18129,1495,1870,1633,2068,1954,4517,4291,5365,3341,2895,4707,2592,1023,47.0
"Montgomery County, New York",49426,24265,25161,3034,3238,3040,3000,2901,6248,5600,6382,3661,3357,4967,2579,1419,41.4
"Nassau County, New York",1356564,659405,697159,74241,81701,84014,89088,86910,155654,162600,198721,101140,90331,125844,66469,39851,41.6
"Richmond County, New York",474101,229424,244677,27356,28745,29866,29314,30067,63250,60147,67646,33117,31268,43118,21406,8801,40.0
"Schuyler County, New York",17992,8979,9013,915,922,978,1042,935,2043,1909,2694,1554,1396,2131,1103,370,46.2
"Tompkins County, New York",102962,50823,52139,4254,4152,4219,12860,17695,13114,10452,10747,5836,6072,8205,3344,2012,30.9
"Chenango County, New York",48348,24227,24121,2596,2639,2982,2930,2743,5235,5252,6869,4062,3500,5564,2930,1046,44.7
"Cortland County, New York",48123,23550,24573,2527,2832,2412,4399,5791,5466,4879,6120,3494,2656,4399,2104,1044,36.4
"Jefferson County, New York",114448,59931,54517,9078,7900,6749,6937,11415,19655,13294,12635,6310,5856,8506,4271,1842,32.4
"Oneida County, New York",230782,115089,115693,13161,13707,13704,15093,15838,28516,25448,31594,16735,15336,22639,12246,6765,41.2
"Suffolk County, New York",1487901,732269,755632,80227,85048,95973,99916,97917,172284,179030,231671,110693,96003,135037,71937,32165,41.3
"Wyoming County, New York",40565,21734,18831,2071,2176,2336,2320,2518,5519,4764,6132,3059,2916,4077,1938,739,41.9
"Chemung County, New York",85740,42556,43184,5075,4884,5453,5192,5215,10514,10159,11571,6379,5979,8468,4395,2456,41.3
"Oswego County, New York",119104,59648,59456,6521,7073,7165,9240,8956,14223,13043,17428,9240,7977,11018,5079,2141,40.0
"Otsego County, New York",60244,29127,31117,2552,2675,2771,5692,6647,5817,5600,7530,4505,4434,6842,3686,1493,42.0
"Wayne County, New York",90856,44971,45885,4982,5304,5851,5575,5316,9861,10149,13716,7382,6617,9616,4475,2012,43.6
"Albany County, New York",307426,148910,158516,15583,15061,16260,23483,32530,40071,34776,39656,20862,19728,27836,14186,7394,37.9
"Broome County, New York",194402,95608,98794,10199,10544,10312,15288,19109,21714,19835,24367,14305,13108,18651,11074,5896,39.8
"Erie County, New York",919866,444998,474868,50232,50843,53014,59078,62986,128665,101496,123733,69088,62199,87041,46937,24554,40.4
"Madison County, New York",71359,35252,36107,3319,4183,3640,6378,5933,7298,7444,10199,5596,5227,7057,3454,1631,41.7
"Sullivan County, New York",75211,38595,36616,4229,4274,4657,4698,4252,8917,8416,11044,6047,5125,8372,4029,1151,42.9
"Genesee County, New York",58112,29022,29090,2980,3516,3265,3453,3633,7081,6380,8579,5104,3668,5673,3181,1599,43.3
"Orange County, New York",378227,189484,188743,24852,26573,28230,28880,28774,43203,45245,54577,25389,22052,29805,14068,6579,36.9
"Bronx County, New York",1437872,676963,760909,106083,99150,97391,98070,113041,227012,181911,185464,83036,72244,97497,54473,22500,33.9
"Fulton County, New York",53743,26847,26896,2677,3099,3156,3151,3060,6407,6208,8041,3781,4182,5734,2710,1537,43.8
"Rensselaer County, New York",159431,78611,80820,8479,8731,8858,11152,11129,21941,18554,22129,11599,11320,15092,6997,3450,39.9
"Herkimer County, New York",62505,30918,31587,3214,3579,3884,4133,3851,6851,6661,8638,4933,4510,6913,3562,1776,44.0
"St. Lawrence County, New York",109558,55780,53778,5814,6218,6563,9808,9299,12857,11838,14315,7798,7164,10269,5197,2418,38.9
"Warren County, New York",64480,31698,32782,2836,3343,3424,3534,3553,7430,6963,9562,5117,5225,7908,3750,1835,46.4
"Dutchess County, New York",293894,146174,147720,13631,14599,17309,21866,22024,33821,33864,44870,23014,20196,27457,14698,6545,42.0
"Monroe County, New York",744248,359374,384874,41595,43403,44235,51252,53257,103968,83605,99986,52237,49079,68688,34806,18137,38.9
"Ulster County, New York",179303,88774,90529,7950,8819,9595,11075,11932,21959,20768,26409,14550,12911,19683,9557,4095,43.7
"Livingston County, New York",63907,32050,31857,2804,3028,3500,5379,6509,7028,6593,8973,4736,4644,6182,3172,1359,40.8
"Greene County, New York",47617,24903,22714,2029,2014,2442,2735,2970,5739,5187,7032,3775,3698,5909,2750,1337,45.8
"Allegany County, New York",47025,23755,23270,2425,2666,2745,4692,4342,4761,4648,5663,3522,3117,4863,2471,1110,38.8
"Cattaraugus County, New York",77686,38491,39195,4440,4742,5182,5320,4972,8412,8380,10441,6045,5646,8039,4311,1756,42.0
"Schenectady County, New York",154883,75453,79430,9017,8893,9757,9883,10373,19968,18915,21250,11243,10069,13688,7303,4524,39.9
"Yates County, New York",25009,11999,13010,1511,1479,1650,1831,1941,2590,2376,2993,1902,1861,2825,1512,538,41.3
"Lake County, California",64148,31879,32269,3683,3828,3496,3516,3231,6973,6706,8097,5137,5540,8591,3975,1375,45.6
"Mariposa County, California",17540,8920,8620,762,761,751,804,803,1885,1614,2284,1503,1683,2778,1556,356,51.4
"Yuba County, California",75493,38468,37025,6126,5796,5815,4955,5600,11930,9193,8410,4592,4001,5647,2311,1117,32.5
"Contra Costa County, California",1133247,553701,579546,65505,73025,76328,72857,68013,143793,151683,164203,78858,69200,99537,48565,21680,39.4
"Lassen County, California",31185,20671,10514,1384,1272,1477,1444,3218,6287,4353,3899,1803,1891,2504,1250,403,36.0
"Santa Barbara County, California",443738,222208,221530,28356,27457,27240,37445,49425,58974,50124,49960,25886,24096,35041,19841,9893,33.7
"Sonoma County, California",501317,245196,256121,25736,28607,28944,29922,30140,65417,61766,66429,35686,37573,55520,23956,11621,41.7
"Imperial County, California",180216,92250,87966,15092,13588,14616,13576,14006,26210,21833,20565,9536,8748,12428,6979,3039,32.4
"Mono County, California",14174,7341,6833,464,786,911,630,1341,2264,1563,1964,1314,907,1385,568,77,38.3
"Alameda County, California",1643700,807171,836529,97506,96428,95792,93865,103705,271867,244557,224507,106455,93101,126820,60948,28149,37.4
"Sacramento County, California",1510023,737742,772281,99356,101293,102000,94932,100159,234363,197732,195044,95111,87826,117908,57619,26680,36.0
"Napa County, California",140530,70082,70448,7318,7449,9619,9036,8888,17269,17769,18925,9560,9337,14353,7545,3462,41.1
"Monterey County, California",433212,220967,212245,32318,31786,32230,30473,31877,63216,56042,51701,25456,22598,32072,15291,8152,34.1
"Sierra County, California",2930,1542,1388,112,111,153,141,83,187,380,254,482,174,516,281,56,55.5
"San Diego County, California",3302833,1661931,1640902,211969,198148,197726,209496,262118,541385,436855,420221,201666,183654,251516,127904,60175,35.6
"Yolo County, California",214977,104375,110602,12467,12618,13052,20389,30396,29455,24981,23778,11704,10696,14761,7050,3630,31.0
"Humboldt County, California",135768,67666,68102,7364,7787,6803,9105,12763,18345,17028,15030,9122,9774,14208,5791,2648,38.0
"Alpine County, California",1146,612,534,39,58,79,114,72,91,140,83,68,109,192,66,35,44.3
"Mendocino County, California",87422,43439,43983,5143,5838,4704,5160,4778,9969,10119,10569,6405,6892,11538,4309,1998,42.8
"Santa Cruz County, California",273765,135727,138038,14535,14511,15516,22731,27607,33557,31870,34702,19532,18203,25867,10581,4553,37.4
"Los Angeles County, California",10098052,4976788,5121264,624745,607905,626594,654903,738416,1609935,1387454,1369838,631221,547764,734393,384700,180184,36.2
"Riverside County, California",2383286,1186188,1197098,158008,169403,177796,177697,170153,328917,303627,303884,142066,123126,186772,101900,39937,35.3
"Santa Clara County, California",1922200,970469,951731,118688,119462,124678,113909,121662,304906,280977,269412,120020,101578,138006,75122,33780,37.0
"Marin County, California",260295,127113,133182,12292,15188,16044,14371,11859,22746,31827,41362,20429,19552,32032,15888,6705,46.5
"Siskiyou County, California",43540,21706,21834,2257,2695,2309,2459,2028,4439,4286,5085,3768,3751,6451,2829,1183,48.0
"Shasta County, California",179085,87859,91226,10520,10893,10500,10808,10213,22779,19093,22249,12939,13470,20852,10598,4171,41.8
"Del Norte County, California",27424,14575,12849,1584,1547,1849,1533,1474,4081,3448,3370,2151,1802,2808,1166,611,38.6
"Glenn County, California",27897,14171,13726,2051,1760,2347,2031,1784,3447,3385,3382,1652,1758,2445,1363,492,36.6
"Butte County, California",227075,112513,114562,12523,13858,11572,15615,25617,28693,24065,25068,15004,14841,23163,11730,5326,37.1
"Plumas County, California",18699,9423,9276,859,893,827,992,698,1714,1844,2211,1592,2081,3160,1410,418,52.2
"San Luis Obispo County, California",281455,142769,138686,13457,14079,14326,22464,29568,32771,30037,32501,19546,19948,31047,15299,6412,39.1
"Kern County, California",883053,452646,430407,71173,72357,72906,65963,68554,135500,110974,102382,49204,42035,55461,26402,10142,31.5
"Orange County, California",3164182,1562429,1601753,188956,189548,206380,208793,218993,453121,415919,453608,211722,176654,249211,131180,60097,37.8
"Calaveras County, California",45235,22434,22801,1936,2398,1926,2319,2054,3929,4212,5878,3966,4403,7469,3517,1228,52.1
"Sutter County, California",95872,47789,48083,6614,7219,7031,6583,6204,13284,11641,11722,5701,5645,7826,4618,1784,35.7
"San Mateo County, California",765935,377851,388084,44775,46334,43978,40654,42295,111996,110088,108983,51530,47435,66210,33971,17686,39.6
"Tuolumne County, California",53932,28102,25830,2389,2833,2220,2641,2726,6669,5563,6359,4214,4967,7859,3739,1753,48.4
"San Joaquin County, California",732212,364612,367600,52723,57384,56988,55240,51640,101222,94351,92011,42250,38942,52720,25773,10968,34.1
"Amador County, California",37829,20302,17527,1534,1540,1727,1978,1530,3744,4329,5105,3003,3387,6144,2555,1253,50.5
"Merced County, California",269075,135816,133259,21254,22886,22499,23338,21064,38509,32974,30749,14281,12201,16993,8987,3340,30.9
"Modoc County, California",8938,4613,4325,402,556,464,491,252,1115,873,1050,691,751,1351,690,252,47.7
"Inyo County, California",18085,9084,9001,1011,1108,888,1055,779,2047,2018,2120,1404,1507,2321,1247,580,45.7
"Stanislaus County, California",539301,266844,272457,39410,41234,41604,39283,37852,77347,67919,66531,33381,26970,39540,19925,8305,34.0
"Tehama County, California",63373,31504,31869,3867,4283,4463,3872,3554,7538,7003,8006,4489,4333,7013,3481,1471,40.9
"San Benito County, California",59416,29626,29790,3902,4187,4678,4469,4104,7890,7645,8149,3850,3348,4278,2031,885,35.5
"El Dorado County, California",186661,93040,93621,8672,10025,11954,11579,9715,18743,20562,26817,16226,15617,22676,10245,3830,45.8
"San Francisco County, California",870044,443970,426074,39519,31072,29588,30492,49822,202928,137296,115998,51067,50824,71250,38978,21210,38.2
"Tulare County, California",460477,230255,230222,38504,40849,40772,37292,33987,64943,57243,51482,23979,21035,29507,14406,6478,30.8
"Nevada County, California",99092,48889,50203,4221,4656,5063,5249,4126,9903,10823,11994,8407,9473,15491,6588,3098,50.1
"Madera County, California",155013,74683,80330,11807,11847,12193,11303,10848,21466,19585,18065,8898,8204,12760,5764,2273,33.9
"Trinity County, California",12862,6582,6280,571,646,523,752,404,1057,1418,1661,1076,1365,2067,1055,267,51.8
"San Bernardino County, California",2135413,1062472,1072941,154616,159351,160376,159896,169422,319211,273918,268397,128278,108605,141854,66406,25083,33.1
"Placer County, California",380077,185511,194566,20325,25051,24540,24399,20279,41834,48667,52916,26116,24851,40466,21867,8766,41.9
"Solano County, California",438530,217931,220599,26706,27649,27594,26976,29952,63551,54436,58247,29377,29652,39080,17772,7538,37.9
"Colusa County, California",21464,11124,10340,1589,1708,1639,1538,1356,2878,2523,2641,1494,1132,1768,860,338,35.1
"Kings County, California",150075,82674,67401,11639,11665,11255,10441,12754,25059,20610,18001,7714,6370,8414,4632,1521,31.7
"Fresno County, California",978130,487936,490194,78636,78627,78151,71970,74241,148512,120605,111792,53835,47323,66238,32360,15840,32.0
"Ventura County, California",848112,419588,428524,51709,53476,59175,57639,59428,112151,105619,116202,59504,49774,71153,35016,17266,37.9
"Okaloosa County, Florida",200737,101745,98992,13322,12467,11875,11067,14503,32144,23664,24689,14132,11871,17994,9712,3297,36.8
"Taylor County, Florida",22098,12414,9684,1028,1189,1394,1002,1397,3177,2812,2865,1368,1644,2536,1416,270,41.7
"Washington County, Florida",24566,13231,11335,1256,1526,1252,1475,1429,3362,3235,3449,1894,1425,2631,1196,436,41.8
"Duval County, Florida",924229,448163,476066,62490,58528,56246,54020,64238,151026,116941,120835,62214,54211,74998,33953,14529,36.1
"Bradford County, Florida",26979,14841,12138,1418,1668,1517,1387,1501,4166,3489,3458,1714,1864,2651,1603,543,40.1
"Brevard County, Florida",576808,282023,294785,27189,27561,32298,31681,31303,63768,59144,79016,48320,43445,71603,43147,18333,47.2
"Clay County, Florida",207291,102225,105066,11571,14339,13839,14590,11925,25819,26825,29895,15183,12374,19606,8804,2521,39.5
"Lafayette County, Florida",8744,5066,3678,543,467,546,574,468,1329,1313,1183,664,480,701,339,137,39.1
"Lake County, Florida",335362,162402,172960,16662,17593,19738,18031,16249,35434,36342,42073,21764,23325,47920,30731,9500,46.8
"Nassau County, Florida",80578,39956,40622,4009,4120,5014,4500,4015,8749,9846,10950,6341,6199,10619,4782,1434,45.0
"Pinellas County, Florida",957875,459766,498109,42635,43795,44377,45352,49164,113584,105172,134683,76526,74092,122227,71045,35223,47.8
"Polk County, Florida",668671,327706,340965,39134,42049,42635,42132,40950,84933,78824,82087,41060,41329,75558,43535,14445,40.3
"St. Lucie County, Florida",305591,149385,156206,15920,16568,18301,17731,16515,34163,34185,39127,22179,19793,38763,23116,9230,44.8
"Glades County, Florida",13363,7303,6060,439,664,744,745,715,1575,1543,1720,917,838,1889,1244,330,47.2
"Hendry County, Florida",40127,21437,18690,2840,2802,3319,2960,2921,5573,5030,5087,2571,1737,2968,1650,669,33.9
"Indian River County, Florida",150984,72290,78694,6447,7330,6796,7661,7109,13465,13757,17784,10142,12758,24936,15117,7682,52.9
"Jackson County, Florida",48472,26784,21688,2371,2192,2826,2922,2791,6515,6719,6590,3546,3019,5123,2900,958,41.6
"Palm Beach County, Florida",1446277,701207,745070,74181,77315,78524,81182,80323,171605,166862,191753,97722,89902,164266,114719,57923,44.6
"St. Johns County, Florida",235503,114660,120843,11949,13754,16206,15392,11530,23377,30238,34117,18033,15668,27920,12590,4729,43.4
"Seminole County, Florida",455086,219935,235151,24115,27007,27593,28215,29175,65381,61743,65388,30329,28677,39798,18270,9395,39.2
"Miami-Dade County, Florida",2715516,1318627,1396889,157507,148896,153683,157350,175212,388968,380348,403554,174395,152250,226265,135591,61497,39.7
"Bay County, Florida",182482,90768,91714,11389,11129,10582,10136,11442,26120,22103,24546,13502,11373,17440,9271,3449,39.4
"Flagler County, Florida",107139,51187,55952,4331,5068,5767,6053,4472,9312,10776,13127,7924,8729,18506,9682,3392,50.9
"Franklin County, Florida",11736,6714,5022,516,561,554,505,634,1707,1395,1579,856,914,1559,686,270,45.0
"Hamilton County, Florida",14269,8281,5988,669,865,732,813,1057,1986,1781,2019,1248,748,1487,652,212,41.5
"Liberty County, Florida",8365,5110,3255,375,397,366,536,684,1171,1145,1185,624,577,810,396,99,40.3
"Sumter County, Florida",120999,60725,60274,2142,2201,3026,2795,2505,6715,7794,8453,6835,11262,41124,21000,5147,67.0
"Gadsden County, Florida",46017,21785,24232,2699,2907,2914,2433,2936,5589,5976,6266,3036,3647,4489,2237,888,40.7
"Holmes County, Florida",19430,10484,8946,898,1169,1037,1088,1177,2484,2363,2669,1378,1318,2165,1240,444,42.5
"Lee County, Florida",718679,351918,366761,33878,34888,38402,37240,36430,77857,74602,86752,48381,52227,110307,64088,23627,48.1
"Marion County, Florida",348371,167211,181160,17419,17867,18682,17686,17685,37013,34074,41372,24078,23612,54346,33370,11167,48.6
"Collier County, Florida",363922,179336,184586,16696,17191,19112,18503,17710,35059,35867,43314,22936,25255,57288,40319,14672,50.3
"Orange County, Florida",1321194,648446,672748,82019,81450,83255,88442,106036,221344,186537,176464,79201,66182,90452,41714,18098,34.9
"Pasco County, Florida",510593,248572,262021,26529,28372,30628,29072,25880,55862,61830,69626,35034,32996,63556,37490,13718,44.6
"Highlands County, Florida",102101,49727,52374,4835,4612,5231,4569,4807,9689,8984,10261,6473,7108,17349,13314,4869,53.4
"Suwannee County, Florida",43924,22230,21694,2157,2885,3017,2045,2851,5189,5242,5671,3076,2955,5101,2865,870,42.5
"DeSoto County, Florida",36399,20657,15742,1872,2100,1873,2475,2161,5185,4374,4317,1997,2285,4289,2771,700,40.6
"Calhoun County, Florida",14444,8048,6396,656,948,773,904,869,2064,1824,1948,965,833,1531,809,320,40.2
"Columbia County, Florida",69105,35683,33422,4129,4656,3826,4274,4406,8716,8083,8942,4633,5016,7276,3789,1359,40.7
"Dixie County, Florida",16437,9218,7219,733,797,973,897,667,1757,1942,2301,1256,1382,2200,1282,250,47.3
"Putnam County, Florida",72766,35841,36925,4177,4237,4616,3938,3958,8120,7306,9059,5696,5389,9454,5469,1347,45.0
"Union County, Florida",15239,9919,5320,849,809,733,787,850,2467,2234,2136,1130,1033,1501,480,230,39.5
"Manatee County, Florida",373853,180595,193258,18190,20506,19330,19579,18459,38940,38814,46900,26653,27555,53930,32191,12806,48.0
"Levy County, Florida",39961,19364,20597,2012,2422,2119,2248,1989,4256,4076,5108,2958,3372,5550,2842,1009,46.8
"Baker County, Florida",27785,14753,13032,1573,1508,2372,1704,1969,3676,3513,4096,1778,1769,2451,1024,352,37.6
"Volusia County, Florida",527634,257275,270359,25018,25571,26771,29299,31769,60080,55178,68500,40265,39677,69830,38071,17605,46.5
"Leon County, Florida",288102,136894,151208,14957,14656,15211,25901,47346,41665,30835,30364,15926,15541,22377,9317,4006,30.7
"Madison County, Florida",18474,9829,8645,921,1049,933,1139,982,2555,2170,2476,1339,1268,2157,1159,326,42.9
"Escambia County, Florida",311522,154520,157002,18844,17547,18441,21626,26479,44841,33877,37930,21588,19877,29535,15337,5600,37.2
"Hernando County, Florida",182696,87747,94949,8223,8849,10363,9935,8786,18423,18517,23024,13076,13183,27173,16713,6431,48.9
"Hillsborough County, Florida",1378883,673286,705597,87034,87580,87895,88614,92002,208393,186834,187388,85819,77648,112780,54018,22878,36.9
"Wakulla County, Florida",31877,17490,14387,1553,1940,2053,1788,1560,4229,4867,4897,2358,2200,2830,1213,389,40.7
"Gulf County, Florida",16055,9586,6469,781,767,583,801,946,2337,2026,2326,1234,1059,1904,956,335,44.3
"Osceola County, Florida",338619,166820,171799,21663,22899,24243,24138,23131,48852,48678,45306,18926,17595,26423,12186,4579,35.8
"Walton County, Florida",65858,33317,32541,3876,3284,4022,3406,3061,8064,8090,9131,5137,5003,8084,3674,1026,43.7
"Jefferson County, Florida",14105,7507,6598,611,746,574,517,747,1664,1844,2035,959,1307,1975,842,284,47.2
"Hardee County, Florida",27228,14705,12523,1765,2078,2113,1973,1976,3672,3226,3333,1477,1409,2366,1382,458,35.1
"Okeechobee County, Florida",40572,21866,18706,2382,2295,2536,2586,2489,5014,5086,5199,2456,2736,4213,2609,971,41.1
"Gilchrist County, Florida",17615,9249,8366,851,773,1111,1507,1483,1782,1829,2270,1382,1110,2028,1060,429,42.5
"Alachua County, Florida",263148,127298,135850,14162,13836,11817,22826,41246,40672,27916,26637,14640,14592,20853,9437,4514,31.3
"Charlotte County, Florida",176954,86278,90676,5386,5770,6632,6878,7068,13070,13282,19905,14764,15153,37174,22535,9337,58.6
"Martin County, Florida",157581,78002,79579,6439,6168,8600,8009,7055,14248,14823,20515,11861,12452,23548,15957,7906,51.9
"Sarasota County, Florida",412144,196433,215711,14882,16656,17191,18040,17292,34562,35586,48449,30382,33263,74199,49300,22342,55.5
"Citrus County, Florida",143087,69376,73711,5454,5233,6652,6350,5753,11280,11475,16471,11412,11649,28067,17032,6259,56.2
"Santa Rosa County, Florida",170442,87175,83267,9728,10196,11101,10908,10022,22904,22169,24525,12214,10482,15955,8101,2137,39.7
"Broward County, Florida",1909151,929712,979439,111571,109519,116309,112757,114287,257952,255231,278165,133090,116289,168797,90807,44377,40.1
"Monroe County, Florida",76325,39822,36503,3550,2952,3185,3417,3621,9298,9553,11577,6463,6446,10193,4694,1376,47.3
"Jersey County, Illinois",22069,10841,11228,1032,1069,1623,1640,1446,2372,2467,3072,1644,1595,2269,1284,556,42.7
"Putnam County, Illinois",5746,2959,2787,242,326,341,329,282,608,584,815,469,477,753,362,158,47.9
"De Witt County, Illinois",16042,8015,8027,874,939,1029,978,818,1811,1945,2226,1261,1218,1650,865,428,43.1
"Fayette County, Illinois",21724,11580,10144,1176,1124,1398,1249,1436,2765,2653,2919,1753,1271,2142,1323,515,41.5
"Lee County, Illinois",34527,18326,16201,1742,2181,1703,1900,2034,4177,4276,4905,2799,2426,3504,2053,827,43.4
"Logan County, Illinois",29207,14183,15024,1565,1372,1652,1993,2180,3821,3703,3727,2119,1918,2708,1368,1081,40.4
