Geographic Area Name,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol
"Levy County, Florida",16433,1285,1497,2965,1929,2600,3143,1525,985,289,215,37634,50782,22025,36592,35144
"Baker County, Florida",8625,638,233,938,827,1154,1802,1128,1220,368,317,61769,73897,24070,44644,35984
"Volusia County, Florida",212985,15878,10708,25922,26972,33545,39505,24178,22922,7000,6355,46760,64048,27272,40975,35359
"Leon County, Florida",112918,10681,5308,11089,11879,16308,18001,13699,14204,5942,5807,51201,73745,29754,47595,39635
"Madison County, Florida",6682,893,688,1063,642,1054,1006,591,450,179,116,35509,50429,19223,37344,29389
"Escambia County, Florida",118740,6987,5131,12470,15024,20551,23962,14051,13003,3771,3790,49286,65836,26730,42764,34050
"Hernando County, Florida",73541,4908,3794,8889,9600,12596,14871,8458,7116,1938,1371,46030,59196,24551,41360,35617
"Hillsborough County, Florida",516478,35090,23693,50492,50225,71260,92616,62903,68951,28785,32463,56137,79843,31173,48321,40541
"Wakulla County, Florida",11068,638,279,1036,1023,1558,2089,2152,1641,434,218,62778,69775,24322,47547,39345
"Gulf County, Florida",5359,269,397,715,727,896,819,721,593,158,64,44291,57476,21255,37162,35538
"Osceola County, Florida",99158,6458,3997,11219,11264,16585,19733,12350,12237,2890,2425,50063,64322,21331,34718,31286
"Walton County, Florida",26432,1652,1374,2748,2597,3941,4624,2690,3729,1300,1777,53785,81950,33731,41394,36304
"Jefferson County, Florida",5771,516,283,712,808,633,1230,555,713,213,108,48173,61993,23448,43971,34897
"Hardee County, Florida",7772,770,503,1281,1140,1112,1316,629,653,232,136,37594,54735,18257,31787,27364
"Okeechobee County, Florida",13759,1130,857,1967,1854,2628,2343,1410,1142,235,193,40367,54057,19943,37696,31165
"Gilchrist County, Florida",6511,490,343,841,945,1104,1076,954,496,147,115,42357,56315,21379,37574,32596
"Alachua County, Florida",97048,12123,4828,10941,9260,12098,16862,10386,10921,4618,5011,49078,70309,27896,46014,39606
"Charlotte County, Florida",76150,3989,3824,9381,8860,12694,15455,8896,7877,2550,2624,49225,66950,30528,40153,36244
"Martin County, Florida",63865,3380,2425,7002,5956,8682,11698,7391,8357,3557,5417,57959,93768,40389,48007,41819
"Sarasota County, Florida",180551,8610,7197,16744,18285,25507,34840,22248,24344,9853,12923,58644,85906,39364,47616,39055
"Citrus County, Florida",62762,4969,3906,9128,8583,11098,11683,5599,5142,1414,1240,41424,56165,25983,38757,32799
"Santa Rosa County, Florida",61345,2746,2009,4625,4715,8070,12395,9383,10419,3957,3026,66242,83602,30904,53413,37135
"Broward County, Florida",682088,44143,29764,66587,67609,91913,122637,82582,93240,38323,45290,57333,82204,31464,46308,40321
"Monroe County, Florida",30982,1656,1275,1937,2948,3861,5324,4608,4488,2002,2883,67023,99583,43477,43108,39879
"Jersey County, Illinois",8665,511,331,757,924,1341,1408,1200,1425,532,236,56747,71313,28924,53594,38125
"Putnam County, Illinois",2395,95,54,206,234,328,458,441,381,76,122,65034,79048,34144,53969,37857
"De Witt County, Illinois",6663,274,301,593,710,1082,1424,851,900,339,189,55591,69216,29402,51757,38473
"Fayette County, Illinois",7616,479,532,962,1067,1231,1169,971,869,207,129,44432,59615,22260,43229,32381
"Lee County, Illinois",13699,758,636,1262,1636,1746,2636,2087,1652,798,488,57901,72909,29249,51845,37368
"Logan County, Illinois",10872,486,451,907,1142,1572,2439,1520,1524,505,326,57899,72129,27187,50299,37114
"Macoupin County, Illinois",18772,1095,883,2081,2060,2732,3272,2629,2700,764,556,53778,67689,28050,50655,38635
"Richland County, Illinois",6482,543,413,660,741,959,1200,845,733,190,198,48724,62163,26038,47519,33994
"Saline County, Illinois",10002,1019,1070,1334,961,1371,1686,1021,1075,261,204,41167,56381,23690,48657,31450
"Washington County, Illinois",5975,242,193,559,600,879,1190,967,861,282,202,59469,75730,32394,50580,36017
"Montgomery County, Illinois",11339,778,637,1495,1084,1640,2200,1593,1287,395,230,50304,62938,24816,49012,34735
"Whiteside County, Illinois",23346,1042,941,2649,2640,3652,4723,3282,2693,931,793,53828,69695,29167,49251,33038
"Adams County, Illinois",27300,1658,1225,3037,3181,4166,5540,3229,3365,964,935,51398,69598,29347,44361,36086
"Clinton County, Illinois",14190,651,586,1140,1204,1750,2958,1913,2538,954,496,65010,80242,31240,53221,39903
"DeKalb County, Illinois",37703,2920,1613,3383,3241,4477,7328,4874,6219,2180,1468,61086,75000,28073,53167,39633
"Edwards County, Illinois",2776,139,138,354,305,461,542,366,362,53,56,49766,63054,26908,47367,36639
"Jasper County, Illinois",3656,316,235,334,308,438,851,463,513,127,71,54951,63677,25536,42887,35917
"Jefferson County, Illinois",15223,1298,740,1966,1608,2255,2875,1637,1852,577,415,47617,64402,25770,48909,34147
"Will County, Illinois",227848,7387,4798,13631,15322,22326,39146,31996,47952,24151,21139,83504,102746,35259,66607,47342
"Williamson County, Illinois",27089,1908,1694,3201,2993,3953,5021,3263,3488,895,673,49053,64486,26756,51049,36683
"Douglas County, Illinois",7618,346,426,827,735,1124,1597,957,1055,356,195,54218,70199,27871,45143,32513
"Fulton County, Illinois",14090,1042,767,1783,1450,1976,3063,1792,1500,417,300,50180,62429,25538,47362,32055
"Greene County, Illinois",5005,369,346,578,633,788,979,588,545,102,77,46052,58630,23946,43873,33333
"Hardin County, Illinois",1438,131,112,187,185,182,277,153,161,30,20,43081,63443,25795,52260,27500
"Henry County, Illinois",20023,1176,1000,2108,2136,2499,3707,2750,3178,886,583,57250,69866,29014,53794,36576
"Knox County, Illinois",20830,1563,1652,2650,2376,3361,3830,2405,2058,551,384,43709,58735,24681,43165,31979
"Lake County, Illinois",244672,9827,6141,15277,15901,23559,37750,29869,43197,24368,38783,86244,123830,44287,64865,50445
"Massac County, Illinois",6011,422,494,842,752,781,1113,832,549,119,107,42604,56495,23768,45944,32330
"Scott County, Illinois",1959,103,112,207,200,301,425,247,239,77,48,53973,67886,27218,49408,38824
"Cass County, Illinois",5024,220,252,591,642,684,1084,697,627,106,121,51997,65081,26245,42963,32048
"LaSalle County, Illinois",44644,2526,2161,4607,4688,6161,8760,5741,6648,2008,1344,56243,70670,29093,54035,35253
"Hancock County, Illinois",7420,415,360,885,795,1110,1574,1144,738,200,199,51549,63252,26880,46788,34923
"Grundy County, Illinois",19398,815,821,1179,1151,2122,3731,2952,3756,1915,956,74140,87844,33308,62983,42238
"Kankakee County, Illinois",40050,2925,1822,4199,3228,5055,8038,5548,6014,1819,1402,57981,71986,27164,53860,39516
"DuPage County, Illinois",341823,12909,6829,18773,20583,33404,51908,45972,68068,36813,46564,88711,117832,43982,70879,53469
"Sangamon County, Illinois",83661,5445,4028,8261,7352,9771,15107,11541,12459,5072,4625,60466,80536,34548,55106,44010
"Menard County, Illinois",5198,247,138,415,387,696,906,915,849,397,248,69102,82127,34495,54798,44914
"Cook County, Illinois",1963070,150136,82860,185110,169860,227406,318622,234678,289976,136558,167864,62088,91216,35575,54867,47704
"Ogle County, Illinois",20901,837,929,1650,2223,2972,4334,2531,3594,1180,651,59707,75048,30595,52856,36537
"Morgan County, Illinois",13864,926,792,1731,1637,2025,2534,1856,1605,500,258,48508,63032,26295,46022,36083
"Stephenson County, Illinois",19609,1374,1084,2659,1937,3164,3722,2296,2295,690,388,48016,62446,27453,49344,34519
"White County, Illinois",6082,502,324,734,625,970,1260,864,467,238,98,47773,58877,25859,49589,32588
"Woodford County, Illinois",14566,461,530,955,958,1789,3024,2293,2436,1243,877,71867,91250,35104,62038,41435
"Henderson County, Illinois",2990,97,150,299,343,530,747,381,348,54,41,52712,65045,28401,46081,29452
"McHenry County, Illinois",111812,3195,2378,6255,7066,11031,19452,17112,23648,11432,10243,84803,103328,38047,65980,47574
"McLean County, Illinois",66159,5495,2793,4836,5140,7333,11251,8773,10921,5535,4082,65813,86113,33665,60185,45096
"Perry County, Illinois",8323,955,429,1010,840,1016,1591,1214,984,132,152,48298,61778,24511,53554,35000
"Pike County, Illinois",6527,509,387,877,794,1137,1223,563,647,267,123,42664,57507,24162,42897,32080
"Rock Island County, Illinois",60294,4370,2745,6217,6214,8800,11868,7966,7998,2488,1628,52630,67715,28595,50194,37397
"St. Clair County, Illinois",103063,9299,5248,10037,10045,13889,16647,12819,15379,5268,4432,53681,73185,29541,52625,40036
"Wabash County, Illinois",4896,303,296,619,525,646,933,778,534,154,108,51432,63491,26850,51086,30730
"Calhoun County, Illinois",1805,140,137,173,151,215,368,219,305,51,46,54392,66845,27314,54191,45260
"Cumberland County, Illinois",4322,208,279,456,507,576,1012,507,594,71,112,53376,62334,25622,42421,33222
"Jo Daviess County, Illinois",9758,469,364,999,1111,1375,1993,1321,1391,464,271,57083,73074,32710,46528,35040
"Kane County, Illinois",178050,6844,4761,11705,12687,20373,30459,23738,33541,16612,17330,76912,101298,34924,57370,43436
"Lawrence County, Illinois",6144,342,277,790,829,1117,963,861,681,210,74,45654,58908,22099,48816,32244
"Brown County, Illinois",2087,78,147,211,160,244,467,352,324,54,50,58762,67824,22279,50643,37708
"Marshall County, Illinois",4893,249,271,517,439,697,1018,632,794,166,110,55901,68641,29827,52636,35313
"Iroquois County, Illinois",11779,532,795,1318,1231,1866,2382,1660,1309,442,244,51825,64658,26976,48161,32326
"Christian County, Illinois",13939,949,566,1817,1587,1722,3057,1843,1663,482,253,52415,62807,26166,48572,35476
"Clay County, Illinois",5638,332,358,749,565,882,1143,664,651,217,77,48691,60790,25821,46940,30305
"Gallatin County, Illinois",2314,260,115,334,253,353,393,295,214,62,35,42500,57026,25572,47340,34425
"Jackson County, Illinois",23728,3653,1937,3326,2331,3161,3416,2273,1913,968,750,37802,58035,24521,44483,36047
"Monroe County, Illinois",13349,379,377,910,1070,1417,2096,1853,2699,1276,1272,81268,101408,39988,63045,51927
"Peoria County, Illinois",73629,6110,3439,7608,7112,9483,13528,9447,9715,3625,3562,54770,74500,30753,54234,38609
"Union County, Illinois",6669,499,463,810,728,896,1252,911,714,235,161,49182,62746,25416,44301,38603
"Winnebago County, Illinois",114608,8273,5764,12315,11758,16138,22096,14845,14121,5385,3913,52743,69030,28250,51692,38230
"Piatt County, Illinois",6700,156,193,429,701,1051,1088,1229,1201,369,283,69271,82458,33967,54726,40095
"Pulaski County, Illinois",2173,226,201,395,301,284,399,146,177,32,12,33799,47587,20317,40495,31630
"Schuyler County, Illinois",2836,161,148,243,370,591,555,397,268,73,30,46151,58448,23068,40372,32129
"Stark County, Illinois",2294,131,152,232,298,287,464,307,224,99,100,52260,70542,30225,50337,38036
"Edgar County, Illinois",7590,676,376,810,683,1179,1594,1129,789,228,126,51109,62335,27701,46424,35793
"Bond County, Illinois",6218,384,291,635,503,863,1256,933,903,306,144,58097,70131,26356,48807,33409
"Boone County, Illinois",18731,876,622,1503,1706,2286,3532,2768,3205,1073,1160,66898,85599,30725,55756,39953
"Bureau County, Illinois",13805,665,518,1523,1413,2109,2714,1989,1903,540,431,55940,69674,29126,52252,34993
"Carroll County, Illinois",6476,411,291,727,836,918,1342,898,738,202,113,51228,62739,28053,48193,32568
"Coles County, Illinois",21139,2123,1702,2492,2183,3015,3881,2427,2109,691,516,44071,63161,26790,43050,33309
"Crawford County, Illinois",7653,441,445,958,807,1266,1188,965,996,308,279,49233,68640,26713,51987,35705
"Vermilion County, Illinois",31180,2789,1747,3866,3557,4782,6046,3612,3127,1103,551,45384,59615,24272,45481,35461
"Clark County, Illinois",6774,254,394,756,683,973,1440,891,883,299,201,54158,70037,29887,49177,34259
"Effingham County, Illinois",13555,642,571,1439,1460,1936,2612,1820,1915,663,497,56293,74875,30255,45911,33089
"Hamilton County, Illinois",3376,194,218,325,280,441,816,399,464,128,111,56862,67205,27795,47229,36786
"Johnson County, Illinois",4342,265,230,490,545,593,871,544,574,144,86,50923,65981,22469,53213,38125
"Livingston County, Illinois",14320,746,616,1804,1643,1622,2612,2046,2270,574,387,56200,70341,28236,51805,32623
"Tazewell County, Illinois",54613,2227,1719,4421,5046,7851,11388,7693,8956,2747,2565,62342,80041,33077,56582,39469
"Warren County, Illinois",6690,413,261,751,598,1344,1317,821,796,166,223,49607,66183,26082,45779,36871
"Madison County, Illinois",107413,6629,4944,10189,10547,13929,20597,14012,16166,6124,4276,57890,74862,30802,56343,42130
"Mercer County, Illinois",6624,388,252,493,767,904,1570,961,947,201,141,58011,68250,28995,51348,35279
"Alexander County, Illinois",2323,291,175,418,286,415,355,182,104,86,11,34709,45672,19065,42702,32449
"Randolph County, Illinois",11873,530,653,1282,1358,1837,2377,1682,1537,270,347,52107,67527,25340,46365,33178
"Macon County, Illinois",44113,3452,2449,5256,4571,6159,7933,5639,5185,1907,1562,50444,68106,28925,52470,37732
"Wayne County, Illinois",7075,390,462,751,816,1134,1571,946,707,163,135,49764,60785,26362,43619,35259
"Franklin County, Illinois",16135,1579,1183,2274,1957,2362,3006,1638,1482,406,248,41414,54762,23510,45801,33559
"McDonough County, Illinois",11292,1387,819,1174,1216,1551,1627,1439,1424,417,238,43724,59429,23299,43176,32953
"Moultrie County, Illinois",5910,225,233,569,562,899,1326,793,819,315,169,59623,70504,28391,50110,35728
"Pope County, Illinois",1644,175,77,179,278,191,306,210,190,29,9,40671,52818,22343,42500,36563
"Shelby County, Illinois",9203,464,515,1069,1114,1291,2060,1245,1114,235,96,51157,59674,25320,46107,31891
"Champaign County, Illinois",82499,10978,3699,8015,7573,9970,13835,9079,11109,3954,4287,51692,72496,29683,49078,41549
"Ford County, Illinois",5779,288,273,729,652,870,1122,732,766,197,150,51120,64974,28002,51669,39438
"Kendall County, Illinois",40407,909,711,1279,2055,3891,6677,7027,10151,3973,3734,91764,104526,34423,64213,48517
"Marion County, Illinois",15913,1175,854,2248,1910,2304,3144,1924,1713,402,239,46102,58895,24727,43976,34395
"Mason County, Illinois",6027,306,363,774,804,959,1210,598,696,166,151,45596,61524,27111,48059,34635
