Geographic Area Name,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol
"Clinton County, New York",31395,2100,1576,3069,3135,4215,6306,4239,4395,1603,757,55178,68108,26772,46439,42674
"Seneca County, New York",13522,688,622,1529,1525,1786,2820,1961,1726,484,381,54695,69516,27366,50004,37389
"Putnam County, New York",34847,654,741,1844,1835,2587,4916,4412,7615,4529,5714,102186,127975,45905,72344,58323
"Franklin County, New York",19088,1478,1505,1943,1746,2657,3683,2581,2287,711,497,51696,65355,25491,48032,40869
"Ontario County, New York",44286,1802,1633,4030,4051,6177,7912,6321,7469,2354,2537,63359,84783,35121,53693,42401
"Queens County, New York",779234,45630,33236,67706,67074,90643,134092,101438,127283,61120,51012,64987,85330,30289,48816,46633
"Steuben County, New York",40183,2398,2366,4407,4563,5780,7885,5076,5068,1471,1169,51789,68301,28600,48709,40110
"Hamilton County, New York",1124,62,44,122,112,153,269,150,137,42,33,57552,66547,25918,37391,41294
"Washington County, New York",24009,1161,1404,2482,2329,3691,4745,3372,3143,1087,595,54114,67967,27156,48394,38977
"Chautauqua County, New York",52572,3879,3953,7047,5861,7910,9375,6463,5853,1326,905,45332,59330,24825,45644,35777
"Kings County, New York",950856,88547,65443,95330,81986,105546,138339,104354,129218,62876,79217,56015,85910,31984,52893,49314
"New York County, New York",758133,62522,42637,57335,46134,57126,89879,71877,106351,62992,161280,82459,152002,72832,89939,73418
"Tioga County, New York",20045,821,1201,1921,2084,2229,3785,2790,3357,1085,772,60736,76161,31330,52479,42377
"Cayuga County, New York",31251,1597,1532,2923,3295,4638,6118,4176,4811,1304,857,56579,71215,29022,52101,40724
"Orleans County, New York",16333,812,849,1787,1837,2605,3536,1913,2133,536,325,51843,64365,25261,48363,38243
"Saratoga County, New York",93876,2888,2457,6036,6069,10005,16029,13909,19710,8826,7947,80839,100650,41709,68003,51573
"Rockland County, New York",100005,3638,3244,7271,6399,8939,13196,11381,18193,11460,16284,91108,119472,38076,68626,57413
"Columbia County, New York",25243,1316,959,2438,2344,3082,4580,3747,3732,1589,1456,63032,84495,35581,52195,43119
"Lewis County, New York",10242,442,674,822,1270,1676,1996,1424,1309,375,254,52380,66189,26169,45157,39680
"Niagara County, New York",88211,5594,5031,9536,8673,12452,15648,11414,12723,4569,2571,54085,69983,29824,52595,40711
"Westchester County, New York",347332,16308,11298,23046,22133,29162,45739,34986,57254,34655,72751,92758,148770,54572,77599,61498
"Delaware County, New York",19030,1193,1315,2504,2043,2688,3856,2239,2248,514,430,48827,61473,26629,47715,35985
"Essex County, New York",15425,669,835,1528,1587,2084,3200,2179,2225,673,445,56196,72078,30273,47135,36247
"Montgomery County, New York",19665,1470,1278,2649,2320,2756,3788,2123,2105,789,387,45837,62158,25427,46660,37204
"Nassau County, New York",445517,12755,9462,21675,22061,31411,52069,51197,87513,61971,95403,111240,146552,49211,77517,60976
"Richmond County, New York",166152,13395,6336,11416,10704,14540,22758,20844,31501,18179,16479,79267,98841,34987,67778,53862
"Schuyler County, New York",7304,361,394,983,645,1156,1293,1168,984,221,99,51479,63289,26484,49426,36906
"Tompkins County, New York",39326,3934,1926,3144,3853,4216,7038,4836,5307,2306,2766,58743,80256,31464,54171,47970
"Chenango County, New York",20616,1161,1353,2546,2234,2885,4247,2693,2350,697,450,50595,63006,26717,44694,35615
"Cortland County, New York",17685,812,1148,1702,1703,2746,3347,2556,2285,847,539,54489,71421,26979,47978,38684
"Jefferson County, New York",43267,2752,2149,4086,4793,6861,8836,6096,5396,1307,991,52268,65268,25884,41150,34459
"Oneida County, New York",90014,5779,5431,9667,9565,11517,17365,11767,11766,4114,3043,53844,70759,28548,48900,40004
"Suffolk County, New York",487981,16865,12132,26774,27481,39863,66832,61792,99675,62648,73919,96675,123111,42204,68738,53560
"Wyoming County, New York",15815,726,747,1609,1457,2186,3451,2574,2258,530,277,57914,68774,27150,49035,38338
"Chemung County, New York",34373,2582,1823,3526,3743,4497,6640,4412,4828,1229,1093,53299,68938,28115,49631,39540
"Oswego County, New York",46032,3159,2357,4364,4716,6954,8699,6052,6649,1752,1330,53597,68539,27217,50835,38576
"Otsego County, New York",23556,1621,1223,2427,2468,3329,4763,2828,3183,1031,683,53121,68791,27680,44133,38640
"Wayne County, New York",36504,1638,1825,3140,4105,5302,7732,5085,5085,1589,1003,55765,70895,29028,49336,37298
"Albany County, New York",126008,6903,5675,11192,10605,15284,21239,16316,20612,9349,8833,64535,86827,36454,56216,49598
"Broome County, New York",78594,5984,5000,8826,8272,10687,14288,9773,10217,3222,2325,50859,67135,27744,47877,40077
"Erie County, New York",387847,27586,22626,39273,37590,48286,67581,48461,57408,22083,16953,55673,75293,32347,53789,43188
"Madison County, New York",26026,1382,1029,2342,2508,3323,5522,3514,4123,1285,998,60228,74989,28925,51028,40689
"Sullivan County, New York",27890,1695,1487,2982,2975,3728,4786,3815,3655,1620,1147,56256,74996,29292,50158,40738
"Genesee County, New York",23681,1241,1354,2040,2259,3076,4602,3783,3540,1125,661,59338,71189,29465,49783,37947
"Orange County, New York",126776,5905,5003,9478,9309,13065,19300,16281,24772,12577,11086,76716,96483,33472,60290,50266
"Bronx County, New York",499728,67371,49272,65984,52700,64403,77306,47045,45809,16847,12991,38085,56328,20850,39649,38504
"Fulton County, New York",22439,1242,1389,2541,2723,3263,4552,2852,2574,809,494,50248,63186,26875,45184,36783
"Rensselaer County, New York",64563,3267,2725,5127,5956,7780,11640,9127,11182,4465,3294,65851,82570,34280,54936,48651
"Herkimer County, New York",24583,1351,1336,2820,2868,3556,4888,3411,3012,863,478,51862,63842,26151,45350,36838
"St. Lawrence County, New York",41669,2613,2995,5256,4566,5641,7683,5480,5030,1370,1035,49305,63127,24473,50806,39305
"Warren County, New York",27553,1241,1298,2584,2641,3707,5239,3809,4527,1369,1138,59813,77328,33605,51303,42475
"Dutchess County, New York",107347,4288,4595,7062,8073,10738,16901,14471,20484,10440,10295,78028,100352,38048,62784,51521
"Monroe County, New York",300796,19837,15813,29241,29319,38894,52560,36956,45040,17786,15350,57479,77604,32502,54007,44044
"Ulster County, New York",69539,3459,3748,6384,6343,8142,12492,8659,11088,4826,4398,63348,84423,33879,54182,44973
"Livingston County, New York",24383,1300,1300,2552,2140,3582,4760,3392,3710,1089,558,56071,69001,27073,50564,42686
"Greene County, New York",17117,1032,1193,1721,1896,2171,3128,2415,2244,793,524,53617,68228,27271,46820,39630
"Allegany County, New York",18009,1202,1109,2328,1872,3171,3500,2264,1921,379,263,47033,58195,23030,45552,34006
"Cattaraugus County, New York",31433,1941,2233,4043,3674,4586,5967,3952,3605,840,592,47240,59656,24628,44818,36540
"Schenectady County, New York",53295,2687,2811,4842,4677,6347,9241,7403,9089,3613,2585,63785,80867,31412,53370,44689
"Yates County, New York",9029,495,421,1056,981,1307,1547,1214,1236,472,300,54343,72404,27512,44844,35713
"Lake County, California",25966,2374,2051,3203,3247,3607,4030,3178,2609,959,708,42475,60847,25404,43516,36940
"Mariposa County, California",7700,494,484,934,711,1133,1465,1060,873,384,162,51199,64590,29776,44969,41533
"Yuba County, California",26179,1289,1879,2835,2497,3956,4744,3264,3591,1450,674,52624,67391,23867,44748,38905
"Contra Costa County, California",392277,13870,11757,21416,22514,34834,54684,48475,74344,43088,67295,93712,128079,45524,75187,59757
"Lassen County, California",9493,497,609,941,909,1150,1979,1171,1388,599,250,56362,71097,21897,58358,45974
"Santa Barbara County, California",144962,6864,5491,10816,11530,16958,23777,18558,23900,11941,15127,71657,101100,34229,48314,41964
"Sonoma County, California",189339,7132,6950,13121,13538,19516,32265,27194,33102,17769,18752,76753,102483,39929,56448,49937
"Imperial County, California",44057,3622,4272,5700,4444,5498,7086,5127,5278,1709,1321,45834,63186,17590,45736,34311
"Mono County, California",4847,140,102,267,339,745,1243,801,765,218,227,63018,80008,33421,41886,44138
"Alameda County, California",572870,24255,21621,33723,33965,47322,76730,66253,104464,67134,97403,92574,122575,44283,72088,60135
"Sacramento County, California",536029,29236,27434,45253,46057,63279,93941,69723,85746,40791,34569,63902,85289,31311,53402,48002
"Napa County, California",49032,1582,1465,3053,3219,5131,7700,6142,9278,4977,6485,84753,116922,42677,55883,53002
"Monterey County, California",126052,4820,4179,9561,10842,15983,24256,17300,19706,9041,10364,66676,93636,28836,43932,40525
"Sierra County, California",1241,45,127,145,118,196,139,135,263,48,25,48125,67464,31972,76042,32394
"San Diego County, California",1118980,51029,39441,78317,84271,122572,184805,144979,197632,98349,117585,74855,101302,36156,54315,47567
"Yolo County, California",73510,5640,3773,6430,5442,7435,12203,8701,11053,5690,7143,65923,92571,32598,60255,49132
"Humboldt County, California",54267,3804,4175,6889,6159,8242,9925,5712,5664,1888,1809,45528,63753,26747,42593,36973
"Alpine County, California",299,11,20,22,32,37,51,27,51,26,22,64688,92738,29041,51250,31364
"Mendocino County, California",34090,2289,2555,3968,3889,4577,6425,3957,3994,1280,1156,49233,67340,27395,41021,36437
"Santa Cruz County, California",95756,4893,4046,7091,6734,9176,14353,11540,15655,8902,13366,78041,109141,39001,60827,50855
"Los Angeles County, California",3306109,192319,168753,296864,282438,386040,534611,396793,500603,239855,307833,64251,94484,32469,46707,42455
"Riverside County, California",718349,39712,30031,64175,65380,87029,124931,94201,116546,51748,44596,63948,84391,27142,50306,40480
"Santa Clara County, California",635525,20454,17520,29090,29276,44235,71227,65389,114669,83325,160340,116178,154183,52451,90862,64739
"Marin County, California",105258,3448,2877,5474,5554,7858,12246,10687,17758,11730,27626,110217,168429,69275,99141,75500
"Siskiyou County, California",19257,1554,1307,2680,2194,2869,3504,2157,1939,619,434,44200,63208,28130,47402,37909
"Shasta County, California",70473,4231,4935,7857,7541,10154,13004,8110,8201,3722,2718,50905,69130,27983,51045,38344
"Del Norte County, California",9799,879,829,1290,1115,1003,2012,1140,934,281,316,45258,61652,22832,45356,40332
"Glenn County, California",10017,857,863,1233,802,1493,2016,1070,1161,334,188,47395,60614,21736,39370,30973
"Butte County, California",86797,6590,6413,10660,8764,12152,14353,9407,10558,4115,3785,48443,69621,27537,50252,40722
"Plumas County, California",8047,402,610,861,720,1189,1498,1057,1048,397,265,53270,71648,32710,56033,40080
"San Luis Obispo County, California",105317,5649,4287,7915,7435,11870,18392,13799,18862,8158,8950,70699,93008,35832,60306,45221
"Kern County, California",267913,17667,15647,30030,28629,36738,47612,30489,35313,14736,11052,52479,71440,22553,45106,35973
"Orange County, California",1032373,43771,30304,62835,66044,96088,157083,132431,189165,107421,147231,85398,117194,39590,60553,50816
"Calaveras County, California",17417,753,792,1681,1800,2475,2918,2241,2558,1375,824,58151,79782,32494,60251,42342
"Sutter County, California",32360,1593,1561,3284,3286,4552,6202,3959,4862,1721,1340,56955,75716,26070,47280,37229
"San Mateo County, California",261969,7627,6048,11667,12425,18246,30288,28976,47304,32301,67087,113776,162639,57375,79347,65524
"Tuolumne County, California",22427,1297,1450,2062,2346,2834,4045,3114,3038,886,1355,56493,80361,33685,54816,44713
"San Joaquin County, California",226727,11947,11352,21842,20742,28173,40017,28778,35403,15258,13215,61145,81297,26145,50117,41465
"Amador County, California",14090,593,550,1479,1576,1713,2760,1948,2155,591,725,61198,78014,30100,51994,43642
"Merced County, California",79606,5230,5097,8627,8577,12196,14954,9425,8924,3506,3070,50129,69764,21634,40992,35528
"Modoc County, California",3660,288,166,502,574,481,734,424,382,81,28,45149,54126,23235,40600,28846
"Inyo County, California",8083,240,574,794,1064,1184,1667,910,1085,300,265,52874,68448,31540,59444,41925
