Geographic Area Name,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races
"Bay County, Florida",182482,11453,139651,19650,989,4067,30,675,5967
"Flagler County, Florida",107139,10828,80249,11094,120,2701,14,306,1827
"Franklin County, Florida",11736,639,9030,1577,8,53,63,176,190
"Hamilton County, Florida",14269,1332,7832,4836,83,8,0,15,163
"Liberty County, Florida",8365,484,6363,1215,90,20,0,34,159
"Sumter County, Florida",120999,6841,102747,8684,336,1027,44,80,1240
"Gadsden County, Florida",46017,4659,14961,25464,68,280,15,103,467
"Holmes County, Florida",19430,533,16894,1315,216,141,71,5,255
"Lee County, Florida",718679,149116,487378,58965,1181,11224,211,1814,8790
"Marion County, Florida",348371,44391,246731,42216,908,5288,206,1051,7580
"Collier County, Florida",363922,100061,230233,24703,659,4406,0,559,3301
"Orange County, Florida",1321194,408324,539349,262987,1471,66884,696,10823,30660
"Pasco County, Florida",510593,74279,385808,26225,1429,12547,327,1013,8965
"Highlands County, Florida",102101,20005,69021,9162,231,1490,15,85,2092
"Suwannee County, Florida",43924,3962,33222,5704,42,43,0,0,951
"DeSoto County, Florida",36399,11352,20017,4402,45,194,46,20,323
"Calhoun County, Florida",14444,837,11119,1775,157,117,0,31,408
"Columbia County, Florida",69105,4120,50262,12099,184,625,47,41,1727
"Dixie County, Florida",16437,647,13878,1334,38,16,5,0,519
"Putnam County, Florida",72766,7187,52092,11591,172,406,8,80,1230
"Union County, Florida",15239,840,10628,3302,111,85,0,5,268
"Manatee County, Florida",373853,60515,267310,31631,844,7534,209,391,5419
"Levy County, Florida",39961,3269,31997,3414,80,251,0,0,950
"Baker County, Florida",27785,674,22640,3770,67,206,9,30,389
"Volusia County, Florida",527634,70582,381288,54722,1656,9158,160,1594,8474
"Leon County, Florida",288102,18050,163785,88415,494,10061,68,601,6628
"Madison County, Florida",18474,966,10057,7081,70,194,2,0,104
"Escambia County, Florida",311522,17293,201285,67770,1410,9532,359,373,13500
"Hernando County, Florida",182696,23507,143190,8689,515,2257,25,1177,3336
"Hillsborough County, Florida",1378883,386478,682935,213409,2483,54617,723,5332,32906
"Wakulla County, Florida",31877,1165,25350,4703,38,199,0,3,419
"Gulf County, Florida",16055,760,12001,2850,59,86,27,20,252
"Osceola County, Florida",338619,179388,111250,31734,722,8720,331,1614,4860
"Walton County, Florida",65858,4029,55560,3085,301,632,92,47,2112
"Jefferson County, Florida",14105,565,8383,4847,77,30,0,0,203
"Hardee County, Florida",27228,11834,12865,2082,45,212,21,5,164
"Okeechobee County, Florida",40572,10217,25805,3337,229,380,63,9,532
"Gilchrist County, Florida",17615,998,15232,1079,4,38,0,0,264
"Alachua County, Florida",263148,25229,161957,51979,870,15703,127,620,6663
"Charlotte County, Florida",176954,12443,148899,9374,382,2209,115,409,3123
"Martin County, Florida",157581,21094,123852,8564,308,2067,92,291,1313
"Sarasota County, Florida",412144,36988,343573,18214,585,6741,96,475,5472
"Citrus County, Florida",143087,7873,126367,3894,440,2415,5,118,1975
"Santa Rosa County, Florida",170442,9199,140846,10062,733,3189,259,274,5880
"Broward County, Florida",1909151,554609,710438,524739,3188,67313,946,10121,37797
"Monroe County, Florida",76325,18206,51024,5024,98,970,107,93,803
"Jersey County, Illinois",22069,302,21162,105,23,47,0,2,428
"Putnam County, Illinois",5746,308,5300,24,0,25,0,0,89
"De Witt County, Illinois",16042,430,15194,76,7,4,10,3,318
"Fayette County, Illinois",21724,408,20008,1043,49,107,0,0,109
"Lee County, Illinois",34527,2077,29847,1754,92,210,62,35,450
"Logan County, Illinois",29207,1000,25266,1833,41,218,2,24,823
"Macoupin County, Illinois",45719,536,43966,422,77,213,3,8,494
"Richland County, Illinois",15881,264,15153,141,45,162,0,0,116
"Saline County, Illinois",24231,430,22175,683,40,185,47,13,658
"Washington County, Illinois",14155,201,13607,117,18,34,8,2,168
"Montgomery County, Illinois",29009,504,26693,1458,45,27,13,0,269
"Whiteside County, Illinois",56396,6687,47787,900,52,269,44,72,585
"Adams County, Illinois",66427,1021,61009,2676,178,540,42,72,889
"Clinton County, Illinois",37628,1166,34442,1308,104,214,0,0,394
"DeKalb County, Illinois",104200,11422,80438,7749,38,2566,0,37,1950
"Edwards County, Illinois",6507,90,6285,41,0,24,0,0,67
"Jasper County, Illinois",9598,24,9326,97,16,4,0,32,99
"Jefferson County, Illinois",38169,969,32703,3193,44,449,0,24,787
"Will County, Illinois",688697,117522,442248,75872,559,36393,140,836,15127
"Williamson County, Illinois",67299,1749,60494,2759,146,744,0,33,1374
"Douglas County, Illinois",19714,1424,17823,105,66,144,18,31,103
"Fulton County, Illinois",35418,1043,32549,1315,87,49,10,0,365
"Greene County, Illinois",13218,86,12746,194,40,25,0,0,127
"Hardin County, Illinois",4009,69,3793,112,11,1,0,0,23
"Henry County, Illinois",49464,2773,44823,848,102,274,0,54,590
"Knox County, Illinois",50999,2875,42325,4349,25,509,0,130,786
"Lake County, Illinois",703619,150590,437597,46334,874,52499,308,1265,14152
"Massac County, Illinois",14430,404,12765,901,7,22,0,0,331
"Scott County, Illinois",5047,62,4899,8,15,9,10,0,44
"Cass County, Illinois",12665,2374,9622,505,17,47,1,13,86
"LaSalle County, Illinois",110401,10473,94724,2678,224,860,21,14,1407
"Hancock County, Illinois",18112,268,17435,148,3,69,0,0,189
"Grundy County, Illinois",50509,4877,43702,611,17,401,17,216,668
"Kankakee County, Illinois",111061,11317,80148,16543,198,1054,0,120,1681
"DuPage County, Illinois",931743,132004,627050,43312,504,108353,242,1345,18933
"Sangamon County, Illinois",197661,4449,159026,24901,168,3798,83,652,4584
"Menard County, Illinois",12367,185,11832,58,16,65,38,9,164
"Cook County, Illinois",5223719,1314232,2217734,1213706,5210,372825,1184,10132,88696
"Ogle County, Illinois",51328,5108,44681,497,145,292,13,18,574
"Morgan County, Illinois",34426,816,30467,2267,63,248,1,3,561
"Stephenson County, Illinois",45433,1725,37665,4469,47,366,0,56,1105
"White County, Illinois",14025,198,13537,101,5,51,4,2,127
"Woodford County, Illinois",38817,695,37095,240,10,204,0,0,573
"Henderson County, Illinois",6884,117,6620,5,16,48,0,0,78
"McHenry County, Illinois",307789,39326,250987,4160,240,8300,27,210,4539
"McLean County, Illinois",173219,8340,137682,14200,251,8889,13,548,3296
"Perry County, Illinois",21384,657,18359,1918,22,130,0,35,263
"Pike County, Illinois",15754,195,15097,234,43,42,0,17,126
"Rock Island County, Illinois",145275,18459,104633,14107,315,3698,58,197,3808
"St. Clair County, Illinois",263463,10507,162966,79040,322,3720,56,643,6209
"Wabash County, Illinois",11573,271,10918,93,14,119,0,0,158
"Calhoun County, Illinois",4858,57,4711,17,1,41,0,0,31
"Cumberland County, Illinois",10865,114,10508,9,22,30,14,6,162
"Jo Daviess County, Illinois",21834,648,20695,110,57,95,12,8,209
"Kane County, Illinois",530839,168385,304340,27979,489,21011,153,844,7638
"Lawrence County, Illinois",16189,616,13711,1440,34,43,0,10,335
"Brown County, Illinois",6675,286,4933,1343,6,37,0,4,66
"Marshall County, Illinois",11794,360,11177,46,11,37,18,0,145
"Iroquois County, Illinois",28169,1914,25375,282,16,91,0,108,383
"Christian County, Illinois",33231,533,31605,417,62,212,61,5,336
"Clay County, Illinois",13338,196,12833,61,20,38,0,0,190
"Gallatin County, Illinois",5157,75,4936,12,27,22,0,5,80
"Jackson County, Illinois",58551,2530,43423,8604,102,2003,2,177,1710
"Monroe County, Illinois",33936,514,32722,76,17,331,0,32,244
"Peoria County, Illinois",184463,8681,129321,32208,514,7250,8,397,6084
"Union County, Illinois",17127,876,15591,237,11,58,0,81,273
"Winnebago County, Illinois",286174,35640,199283,35871,434,7303,52,368,7223
"Piatt County, Illinois",16427,213,15826,90,10,74,0,28,186
"Pulaski County, Illinois",5611,124,3571,1680,7,16,0,11,202
"Schuyler County, Illinois",7064,29,6400,518,7,0,0,0,110
"Stark County, Illinois",5500,88,5267,38,0,61,0,0,46
"Edgar County, Illinois",17539,201,17010,61,12,181,0,0,74
"Bond County, Illinois",16712,578,14705,1043,50,196,0,22,118
"Boone County, Illinois",53606,11459,39370,1084,153,633,0,59,848
"Bureau County, Illinois",33381,2995,29382,304,46,289,3,25,337
"Carroll County, Illinois",14562,523,13579,163,17,107,0,12,161
"Coles County, Illinois",51736,1288,47080,1897,85,627,17,7,735
"Crawford County, Illinois",19088,668,16821,1083,14,137,13,3,349
"Vermilion County, Illinois",78407,3877,61549,10885,211,743,12,17,1113
"Clark County, Illinois",15836,247,15294,46,11,76,0,0,162
"Effingham County, Illinois",34174,684,32780,155,24,210,15,10,296
"Hamilton County, Illinois",8221,198,7920,31,23,49,0,0,0
"Johnson County, Illinois",12602,403,10647,1462,9,40,0,9,32
"Livingston County, Illinois",36324,1627,32418,1420,0,278,0,2,579
"Tazewell County, Illinois",133852,3019,125950,1747,207,1330,18,95,1486
"Warren County, Illinois",17338,1631,14455,449,40,448,0,76,239
"Madison County, Illinois",265670,8485,226512,22318,482,2592,57,120,5104
"Mercer County, Illinois",15693,364,14993,92,16,54,0,0,174
"Alexander County, Illinois",6532,73,4063,2169,48,6,0,0,173
"Randolph County, Illinois",32546,996,27666,3305,47,128,0,17,387
"Macon County, Illinois",106512,2366,81459,15185,273,1154,7,164,5904
"Wayne County, Illinois",16487,81,15872,290,33,43,0,0,168
"Franklin County, Illinois",39127,657,37527,280,79,185,25,17,357
"McDonough County, Illinois",30875,835,27213,1431,55,689,0,0,652
"Moultrie County, Illinois",14703,197,14243,78,40,32,0,4,109
"Pope County, Illinois",4249,79,3865,223,10,27,0,0,45
"Shelby County, Illinois",21832,226,21249,202,19,25,0,0,111
"Champaign County, Illinois",209448,12239,141757,27617,268,22278,121,351,4817
"Ford County, Illinois",13398,427,12573,147,59,64,5,19,104
"Kendall County, Illinois",124626,22616,87623,8184,108,4132,0,15,1948
"Marion County, Illinois",38084,748,34772,1328,86,264,0,73,813
"Mason County, Illinois",13778,147,13308,130,14,27,0,1,151
